date,open,high,low,close,volume,turnover,pre-close,changeamount,change
2014-05-20,12.0,12.0,12.0,12.0,1000.0,8.135763768010647e-05,12.0,0.0,0.0
2014-05-21,12.0,12.0,12.0,12.0,3000.0,0.0002440729130403,12.0,0.0,0.0
2014-05-22,11.6,11.6,11.6,11.6,1000.0,8.135763768010647e-05,12.0,-0.4,-0.0333
2014-05-27,10.98,10.99,10.98,10.98,5000.0,0.0004067881884005,11.6,-0.62,-0.0534
2014-05-30,10.0,10.48,10.0,10.0,13000.0,0.0010576492898413,10.98,-0.98,-0.0893
2014-06-04,10.48,12.5,10.48,12.49,39700.0,0.0032298982159002,10.0,2.49,0.249
2014-06-05,12.0,12.46,12.0,12.3,5000.0,0.0004067881884005,12.49,-0.19,-0.0152
2014-06-06,12.0,12.1,12.0,12.03,8000.0,0.0006508611014408,12.3,-0.27,-0.022
2014-06-11,11.0,11.0,11.0,11.0,12000.0,0.0009762916521612,12.03,-1.03,-0.0856
2014-06-13,10.48,10.48,10.48,10.48,1000.0,8.135763768010647e-05,11.0,-0.52,-0.0473
2014-06-18,10.88,11.0,10.48,10.81,42000.0,0.0034170207825644,10.48,0.33,0.0315
2014-06-26,10.98,10.98,10.48,10.65,3000.0,0.0002440729130403,10.81,-0.16,-0.0148
2014-07-01,11.12,11.12,11.12,11.12,1000.0,8.135763768010647e-05,10.65,0.47,0.0441
2014-07-07,10.99,10.99,10.99,10.99,2000.0,0.0001627152753602,11.12,-0.13,-0.0117
2014-07-08,11.2,11.88,11.2,11.54,2000.0,0.0001355960609615,10.99,0.55,0.05
2014-07-17,7.99,7.99,7.99,7.99,3000.0,0.0002033940914423,11.54,-3.55,-0.3076
2014-07-25,7.99,8.28,7.99,8.14,2000.0,0.0001355960609615,7.99,0.15,0.0188
2014-07-28,8.9,8.9,6.5,6.58,5000.0,0.0003389901524038,8.14,-1.56,-0.1916
2014-07-31,6.65,6.7,6.65,6.68,2000.0,0.0001355960609615,6.58,0.1,0.0152
2014-08-12,8.0,8.1,8.0,8.0,10000.0,0.0006779803048077,6.68,1.32,0.1976
2014-08-13,8.0,8.0,8.0,8.0,12000.0,0.0008135763657692,8.0,0.0,0.0
2014-09-03,8.0,8.0,8.0,8.0,1000.0,6.779803048077414e-05,8.0,0.0,0.0
2014-09-16,8.58,8.58,7.54,8.06,2000.0,0.0001355960609615,8.0,0.06,0.0075
2014-09-17,8.15,8.15,8.15,8.15,1000.0,6.779803048077414e-05,8.06,0.09,0.0112
2014-09-24,10.5,10.5,10.5,10.5,1000.0,6.779803048077414e-05,8.15,2.35,0.2883
2014-10-16,7.25,7.85,7.25,7.85,2040.0,0.0001383079821807,10.5,-2.65,-0.2524
2014-10-21,7.18,7.18,7.18,7.18,3000.0,0.0002033940914423,7.85,-0.67,-0.0854
2014-10-22,7.8,7.8,7.8,7.8,1000.0,6.779803048077414e-05,7.18,0.62,0.0864
2014-10-30,9.58,9.58,9.5,9.54,4000.0,0.000271192121923,7.8,1.74,0.2231
2014-11-03,8.3,8.3,8.3,8.3,400.0,2.711921219230965e-05,9.54,-1.24,-0.13
2014-11-12,9.18,9.5,9.18,9.2,6000.0,0.0004067881828846,8.3,0.9,0.1084
2014-11-13,9.21,9.35,9.2,9.26,5000.0,0.0003389901524038,9.2,0.06,0.0065
2014-11-14,9.2,9.2,9.2,9.2,1000.0,6.779803048077414e-05,9.26,-0.06,-0.0065
2014-11-17,8.0,9.25,8.0,8.25,5000.0,0.0003389901524038,9.2,-0.95,-0.1033
2014-11-21,9.18,9.2,9.18,9.2,7000.0,0.0004745862133654,8.25,0.95,0.1152
2014-11-24,10.0,10.2,10.0,10.1,2000.0,0.0001355960609615,9.2,0.9,0.0978
2014-12-03,9.18,9.18,9.18,9.18,1000.0,6.779803048077414e-05,10.1,-0.92,-0.0911
2014-12-08,9.98,10.18,9.98,10.1,5000.0,0.0003389901524038,9.18,0.92,0.1002
2014-12-10,9.18,9.8,9.18,9.25,9000.0,0.0006101822743269,10.1,-0.85,-0.0842
2014-12-11,9.18,9.18,9.18,9.18,6000.0,0.0004067881828846,9.25,-0.07,-0.0076
2014-12-16,9.0,9.0,9.0,9.0,1000.0,6.779803048077414e-05,9.18,-0.18,-0.0196
2014-12-19,8.88,8.88,8.88,8.88,4000.0,0.000271192121923,9.0,-0.12,-0.0133
2014-12-24,8.9,8.9,8.9,8.9,5000.0,0.0003389901524038,8.88,0.02,0.0023
2014-12-29,10.18,10.18,10.18,10.18,1000.0,6.779803048077414e-05,8.9,1.28,0.1438
2015-01-06,8.68,8.68,8.68,8.68,8000.0,0.0005423842438461,10.18,-1.5,-0.1473
2015-01-07,8.6,8.68,8.6,8.66,36800.0,0.0024949675216924,8.68,-0.02,-0.0023
2015-01-08,6.0,6.0,6.0,6.0,660000.0,0.0447467001173109,8.66,-2.66,-0.3072
2015-01-19,9.0,9.0,9.0,9.0,18000.0,0.0012203645486539,6.0,3.0,0.5
2015-01-20,8.88,8.88,8.88,8.88,400.0,2.711921219230965e-05,9.0,-0.12,-0.0133
2015-01-22,11.0,11.0,11.0,11.0,1000.0,6.779803048077414e-05,8.88,2.12,0.2387
2015-01-26,9.0,9.85,9.0,9.0,17000.0,0.0011525665181731,11.0,-2.0,-0.1818
2015-01-27,9.02,12.0,8.72,9.96,5000.0,0.0003389901524038,9.0,0.96,0.1067
2015-01-28,9.1,9.5,9.1,9.19,8800.0,0.0005966226682308,9.96,-0.77,-0.0773
2015-02-02,9.2,9.2,9.2,9.2,2000.0,0.0001355960609615,9.19,0.01,0.0011
2015-02-04,9.2,9.2,9.2,9.2,4000.0,0.000271192121923,9.2,0.0,0.0
2015-02-16,9.1,9.9,9.1,9.65,8000.0,0.0005423842438461,9.2,0.45,0.0489
2015-02-25,10.0,10.0,10.0,10.0,30000.0,0.0020339409144232,9.65,0.35,0.0363
2015-02-26,10.0,10.0,10.0,10.0,7000.0,0.0004745862133654,10.0,0.0,0.0
2015-02-27,10.0,10.1,10.0,10.1,6000.0,0.0004067881828846,10.0,0.1,0.01
2015-03-02,10.0,10.15,10.0,10.02,14000.0,0.0009491724267308,10.1,-0.08,-0.0079
2015-03-03,10.17,10.17,10.0,10.0,9000.0,0.0006101822743269,10.02,-0.02,-0.002
2015-03-04,10.16,10.16,10.16,10.16,1000.0,6.779803048077414e-05,10.0,0.16,0.016
2015-03-05,10.15,10.5,10.15,10.21,53000.0,0.003593295615481,10.16,0.05,0.0049
2015-03-06,11.11,12.95,11.11,12.19,3000.0,0.0002033940914423,10.21,1.98,0.1939
2015-03-09,11.5,13.0,11.5,12.0,103000.0,0.0069831971395197,12.19,-0.19,-0.0156
2015-03-10,12.2,13.1,12.1,13.03,25000.0,0.0016949507620193,12.0,1.03,0.0858
2015-03-11,13.0,13.5,13.0,13.1,18000.0,0.0012203645486539,13.03,0.07,0.0054
2015-03-12,13.0,13.5,13.0,13.17,3000.0,0.0002033940914423,13.1,0.07,0.0053
2015-03-13,13.2,13.2,13.0,13.17,6000.0,0.0004067881828846,13.17,0.0,0.0
2015-03-16,13.19,13.2,13.1,13.13,62000.0,0.0042034778898079,13.17,-0.04,-0.003
2015-03-17,13.1,13.1,12.18,13.02,11000.0,0.0007457783352885,13.13,-0.11,-0.0084
2015-03-18,13.12,13.12,12.2,12.86,16000.0,0.0010847684876923,13.02,-0.16,-0.0123
2015-03-19,13.0,13.2,12.0,12.98,150000.0,0.0101697045721161,12.86,0.12,0.0093
2015-03-20,12.15,12.99,12.06,12.26,37000.0,0.0025085271277886,12.98,-0.72,-0.0555
2015-03-23,12.1,12.2,11.9,11.95,31000.0,0.0021017389449039,12.26,-0.31,-0.0253
2015-03-24,12.1,12.1,11.8,11.86,26000.0,0.0017627487925001,11.95,-0.09,-0.0075
2015-03-25,12.1,12.1,12.1,12.1,8000.0,0.0005423842438461,11.86,0.24,0.0202
2015-03-26,12.1,12.68,11.6,12.67,68000.0,0.0046102660726926,12.1,0.57,0.0471
2015-03-27,12.02,12.74,12.0,12.27,72000.0,0.0048814581946157,12.67,-0.4,-0.0316
2015-03-30,12.88,12.9,12.01,12.2,147000.0,0.0099663104806737,12.27,-0.07,-0.0057
2015-03-31,6.0,18.0,6.0,18.0,536000.0,0.0363397443376949,12.2,5.8,0.4754
2015-04-01,13.55,15.8,13.0,14.57,52000.0,0.0035254975850002,18.0,-3.43,-0.1906
2015-04-02,16.2,16.2,15.7,15.82,23000.0,0.0015593547010578,14.57,1.25,0.0858
2015-04-03,16.49,19.99,13.01,19.71,230000.0,0.015593547010578,15.82,3.9,0.2465
2015-04-07,21.87,22.59,21.85,22.15,124000.0,0.0084069557796159,19.72,2.44,0.1237
2015-04-08,2.2,23.99,2.2,22.54,48200.0,0.0032678650691733,22.16,0.39,0.0176
2015-04-09,23.99,23.99,12.0,21.33,86000.0,0.0058306306213465,22.55,-1.21,-0.0537
2015-04-10,20.79,20.79,20.29,20.43,15000.0,0.0010169704572116,21.34,-0.9,-0.0422
2015-04-13,20.2,20.99,20.19,20.31,16000.0,0.0010847684876923,20.44,-0.12,-0.0059
2015-04-14,21.97,22.2,18.99,20.63,30000.0,0.0020339409144232,20.32,0.32,0.0157
2015-04-15,16.99,18.99,16.99,18.99,7000.0,0.0004745862133654,20.64,-1.64,-0.0795
2015-04-16,18.99,19.14,18.99,19.09,14000.0,0.0009491724267308,19.0,0.1,0.0053
2015-04-17,20.49,20.49,19.79,19.99,8000.0,0.0005423842438461,19.1,0.9,0.0471
2015-04-20,12.46,19.24,12.46,19.14,35000.0,0.002372931066827,20.0,-0.85,-0.0425
2015-04-21,10.0,18.09,10.0,16.47,5000.0,0.0003389901524038,19.15,-2.67,-0.1394
2015-04-22,17.99,18.79,17.99,18.12,31000.0,0.0021017389449039,16.48,1.65,0.1001
2015-04-23,18.14,19.97,17.99,19.24,23000.0,0.0015593547010578,18.13,1.12,0.0618
2015-04-24,0.07,18.19,0.07,17.99,21000.0,0.0014237586400962,19.25,-1.25,-0.0649
2015-04-27,20.09,20.09,19.49,19.75,115000.0,0.007796773505289,18.0,1.76,0.0978
2015-04-28,19.49,19.59,14.99,18.79,42000.0,0.0028475172801925,19.76,-0.96,-0.0486
2015-04-30,18.29,18.29,18.29,18.29,2000.0,0.0001355960609615,18.8,-0.5,-0.0266
2015-05-05,17.99,17.99,10.0,17.99,28000.0,0.0018983448534616,18.3,-0.3,-0.0164
2015-05-06,16.99,16.99,16.99,16.99,2000.0,0.0001355960609615,18.0,-1.0,-0.0556
2015-05-11,17.97,17.97,17.97,17.97,1000.0,6.779803048077414e-05,17.0,0.98,0.0576
2015-05-12,16.99,16.99,16.99,16.99,3000.0,0.0002033940914423,17.98,-0.98,-0.0545
2015-05-13,15.29,18.59,15.29,17.36,19000.0,0.0012881625791347,17.0,0.37,0.0218
2015-05-14,12.19,12.19,12.19,12.19,1000.0,4.519868596572213e-05,17.37,-5.17,-0.2976
2015-05-15,12.19,12.19,12.19,12.19,2000.0,9.039737193144426e-05,12.2,0.0,0.0
2015-09-23,7.5,7.5,7.5,7.5,1000.0,4.519868596572213e-05,12.2,-4.7,-0.3852
2015-09-24,7.5,7.5,6.85,6.92,24000.0,0.0010847684631773,7.5,-0.58,-0.0773
2015-09-25,6.92,7.0,6.8,7.0,16000.0,0.0007231789754515,6.92,0.08,0.0116
2015-09-29,7.0,7.5,7.0,7.5,2000.0,9.039737193144426e-05,7.0,0.5,0.0714
2015-10-12,7.2,7.5,7.18,7.48,22000.0,0.0009943710912458,7.5,-0.02,-0.0027
2015-10-13,7.48,7.5,7.45,7.47,12000.0,0.0005423842315886,7.48,-0.01,-0.0013
2015-10-15,7.5,7.6,7.5,7.52,5500.0,0.0002485927728114,7.47,0.05,0.0067
2015-10-20,7.52,7.52,7.52,7.52,3000.0,0.0001355960578971,7.52,0.0,0.0
2015-10-21,7.2,7.2,7.2,7.2,1000.0,4.519868596572213e-05,7.52,-0.32,-0.0426
2015-10-23,7.5,8.0,7.0,7.69,46000.0,0.0020791395544232,7.2,0.49,0.0681
2015-10-28,7.0,7.0,7.0,7.0,1000.0,4.519868596572213e-05,7.69,-0.69,-0.0897
2015-10-29,6.8,7.2,6.8,6.9,10500.0,0.00047458620264,7.0,-0.1,-0.0143
2015-11-03,7.55,7.55,7.55,7.55,500.0,2.2599342982861064e-05,6.9,0.65,0.0942
2015-11-04,7.55,7.55,7.55,7.55,2000.0,9.039737193144426e-05,7.55,0.0,0.0
2015-11-05,7.5,7.55,7.45,7.5,3000.0,0.0001355960578971,7.55,-0.05,-0.0066
2015-11-06,6.99,8.0,6.99,7.16,21000.0,0.0009491724052801,7.5,-0.34,-0.0453
2015-11-10,7.0,7.15,7.0,7.15,8000.0,0.0003615894877257,7.16,-0.01,-0.0014
2015-11-11,7.5,7.5,7.4,7.42,9000.0,0.0004067881736914,7.15,0.27,0.0378
2015-11-12,7.5,7.5,7.5,7.5,2000.0,9.039737193144426e-05,7.42,0.08,0.0108
2015-11-13,7.3,7.5,7.3,7.48,16000.0,0.0004992312307076,7.5,-0.02,-0.0027
2015-11-16,7.5,7.75,7.5,7.5,495000.0,0.0154449662000175,7.48,0.02,0.0027
2015-11-17,7.4,7.4,7.4,7.4,5000.0,0.0001560097595961,7.5,-0.1,-0.0133
2015-11-18,7.55,7.55,7.55,7.55,3000.0,9.360585575768216e-05,7.4,0.15,0.0203
2015-11-19,7.5,7.5,7.3,7.3,24000.0,0.0007488468460614,7.55,-0.25,-0.0331
2015-11-20,7.5,7.5,7.5,7.5,8000.0,0.0002496156153538,7.3,0.2,0.0274
2015-11-23,7.64,7.64,7.5,7.54,3178.0,9.915980319930462e-05,7.5,0.04,0.0053
2015-11-25,7.54,7.75,7.46,7.71,30000.0,0.0009360585575768,7.54,0.17,0.0225
2015-11-26,7.78,7.8,7.78,7.79,3000.0,9.360585575768216e-05,7.71,0.08,0.0104
2015-11-27,7.51,7.51,7.51,7.51,1000.0,3.1201951919227384e-05,7.79,-0.28,-0.0359
2015-12-01,7.51,7.8,7.51,7.66,2000.0,6.240390383845477e-05,7.51,0.15,0.02
2015-12-02,8.0,8.0,7.28,7.64,2000.0,6.240390383845477e-05,7.66,-0.02,-0.0026
2015-12-03,7.75,7.75,7.75,7.75,1000.0,3.1201951919227384e-05,7.64,0.11,0.0144
2015-12-04,7.8,7.8,7.28,7.32,20000.0,0.0006240390383845,7.75,-0.43,-0.0555
2015-12-07,7.5,7.58,7.5,7.58,2000.0,6.240390383845477e-05,7.32,0.26,0.0355
2015-12-10,7.58,8.0,7.58,7.83,17000.0,0.0005304331826268,7.58,0.25,0.033
2015-12-11,7.81,7.81,7.5,7.5,5500.0,0.0001716107355557,7.83,-0.33,-0.0421
2015-12-14,7.5,7.5,7.49,7.5,7000.0,0.0002184136634345,7.5,0.0,0.0
2015-12-18,7.7,7.7,7.7,7.7,1000.0,3.1201951919227384e-05,7.5,0.2,0.0267
2015-12-21,7.4,7.65,7.4,7.44,6000.0,0.0001872117115153,7.7,-0.26,-0.0338
2015-12-22,7.65,7.65,7.4,7.58,11000.0,0.0003432214711115,7.44,0.14,0.0188
2015-12-23,7.4,7.4,7.4,7.4,4000.0,0.0001248078076769,7.58,-0.18,-0.0237
2015-12-24,7.4,7.4,7.4,7.4,1000.0,3.1201951919227384e-05,7.4,0.0,0.0
2015-12-25,7.9,10.08,7.9,9.09,33000.0,0.0010296644133345,7.4,1.69,0.2284
2015-12-28,8.48,8.48,1.0,1.0,11000.0,0.0003432214711115,9.09,-8.09,-0.89
2015-12-29,1.0,9.99,1.0,2.92,13000.0,0.0004056253749499,1.0,1.92,1.92
2015-12-31,10.58,11.23,9.95,10.35,157500.0,0.0049143074272783,2.92,7.43,2.5445
2016-01-04,9.8,9.8,9.1,9.3,39000.0,0.0012168761248498,10.35,-1.05,-0.1014
2016-01-05,9.99,11.0,9.15,10.63,12500.0,0.0003900243989903,9.3,1.33,0.143
2016-01-06,8.0,10.2,8.0,10.18,504000.0,0.0157257837672906,10.63,-0.45,-0.0423
2016-01-07,10.18,10.18,9.0,9.1,16000.0,0.0004992312307076,10.18,-1.08,-0.1061
2016-01-08,9.2,9.2,9.0,9.06,25000.0,0.0007800487979806,9.1,-0.04,-0.0044
2016-01-11,9.0,9.0,9.0,9.0,2000.0,6.240390383845477e-05,9.06,-0.06,-0.0066
2016-01-12,9.0,9.0,8.6,8.73,4000.0,0.0001248078076769,9.0,-0.27,-0.03
2016-01-18,8.78,8.88,8.0,8.0,9000.0,0.000280817567273,8.73,-0.73,-0.0836
2016-01-19,8.0,8.18,8.0,8.16,7000.0,0.0002184136634345,8.0,0.16,0.02
2016-01-20,7.49,10.81,7.49,8.44,7000.0,0.0002184136634345,8.16,0.28,0.0343
2016-01-21,7.5,8.42,7.5,7.87,14000.0,0.0004368273268691,8.44,-0.57,-0.0675
2016-01-22,7.5,8.48,7.5,7.72,10500.0,0.0003276204951518,7.87,-0.15,-0.0191
2016-01-25,8.56,8.56,7.85,8.21,2000.0,6.240390383845477e-05,7.72,0.49,0.0635
2016-01-26,7.5,7.7,7.5,7.53,13000.0,0.0004056253749499,8.21,-0.68,-0.0828
2016-01-27,8.0,8.01,7.68,8.01,9000.0,0.000280817567273,7.53,0.48,0.0637
2016-01-28,8.2,8.3,8.2,8.25,9000.0,0.000280817567273,8.01,0.24,0.03
2016-01-29,7.7,7.75,7.7,7.7,28500.0,0.0008892556296979,8.25,-0.55,-0.0667
2016-02-01,7.7,7.7,7.22,7.5,51000.0,0.0015912995478805,7.7,-0.2,-0.026
2016-02-02,7.5,7.5,7.04,7.26,55500.0,0.0017317083315171,7.5,-0.24,-0.032
2016-02-03,7.26,7.26,7.26,7.26,7000.0,0.0002184136634345,7.26,0.0,0.0
2016-02-04,7.28,7.4,7.28,7.4,25000.0,0.0007800487979806,7.26,0.14,0.0193
2016-02-05,7.48,7.48,7.48,7.48,2000.0,6.240390383845477e-05,7.4,0.08,0.0108
2016-02-16,7.5,7.55,7.5,7.55,12000.0,0.0003744234230307,7.48,0.07,0.0094
2016-02-17,7.35,7.5,7.15,7.25,84000.0,0.0026209639612151,7.55,-0.3,-0.0397
2016-02-18,7.3,7.3,6.93,7.0,68000.0,0.0021217327305074,7.25,-0.25,-0.0345
2016-02-19,6.9,7.05,6.83,6.9,53000.0,0.001653703451719,7.0,-0.1,-0.0143
2016-02-22,6.75,6.8,6.47,6.66,59100.0,0.0018440353584263,6.9,-0.24,-0.0348
2016-02-24,6.6,6.82,6.6,6.8,29000.0,0.0009048566056575,6.66,0.14,0.021
2016-02-25,6.9,6.9,6.75,6.8,10000.0,0.0003120195191922,6.8,0.0,0.0
2016-02-29,6.8,6.8,6.5,6.6,9100.0,0.0002839377624649,6.8,-0.2,-0.0294
2016-03-01,6.6,6.7,6.6,6.7,9000.0,0.000280817567273,6.6,0.1,0.0152
2016-03-02,6.72,6.78,6.72,6.75,12000.0,0.0003744234230307,6.7,0.05,0.0075
2016-03-03,6.8,6.8,6.8,6.8,5000.0,0.0001560097595961,6.75,0.05,0.0074
2016-03-04,6.8,6.8,6.8,6.8,7000.0,0.0002184136634345,6.8,0.0,0.0
2016-03-07,6.83,6.83,6.8,6.83,4000.0,0.0001248078076769,6.8,0.03,0.0044
2016-03-08,6.85,6.85,6.85,6.85,2000.0,6.240390383845477e-05,6.83,0.02,0.0029
2016-03-09,6.8,6.9,6.8,6.9,3000.0,9.360585575768216e-05,6.85,0.05,0.0073
2016-03-10,6.85,6.92,6.85,6.92,14000.0,0.0004368273268691,6.9,0.02,0.0029
2016-03-11,6.9,7.0,6.85,7.0,23000.0,0.0007176448941422,6.92,0.08,0.0116
2016-03-14,7.0,7.1,6.9,7.1,14000.0,0.0004368273268691,7.0,0.1,0.0143
2016-03-16,6.9,7.0,6.9,7.0,5000.0,0.0001560097595961,7.1,-0.1,-0.0141
2016-03-17,7.05,7.05,7.0,7.04,5000.0,0.0001560097595961,7.0,0.04,0.0057
2016-03-18,7.0,7.04,7.0,7.04,12000.0,0.0003744234230307,7.04,0.0,0.0
2016-03-21,7.05,7.25,7.05,7.25,12000.0,0.0003744234230307,7.04,0.21,0.0298
2016-03-22,7.02,7.34,7.01,7.34,13500.0,0.0004212263509095,7.25,0.09,0.0124
2016-03-23,7.41,7.41,7.38,7.38,4000.0,0.0001248078076769,7.34,0.04,0.0054
2016-03-25,7.38,7.41,7.38,7.41,8000.0,0.0002496156153538,7.38,0.03,0.0041
2016-03-28,7.41,7.41,7.41,7.41,1000.0,3.1201951919227384e-05,7.41,0.0,0.0
2016-03-29,7.25,7.35,7.25,7.35,2000.0,6.240390383845477e-05,7.41,-0.06,-0.0081
2016-03-31,7.25,7.25,7.18,7.25,8000.0,0.0002496156153538,7.35,-0.1,-0.0136
2016-04-05,7.3,7.4,7.3,7.4,7000.0,0.0002184136634345,7.25,0.15,0.0207
2016-04-06,7.2,7.35,7.15,7.3,21000.0,0.0006552409903037,7.4,-0.1,-0.0135
2016-04-07,7.12,7.35,7.12,7.35,12413.0,0.0003873098291733,7.3,0.05,0.0068
2016-04-12,7.4,7.5,7.4,7.5,6000.0,0.0001872117115153,7.35,0.15,0.0204
2016-04-13,7.5,7.62,7.5,7.62,17000.0,0.0005304331826268,7.5,0.12,0.016
