date,open,high,low,close,volume,turnover,pre-close,changeamount,change
1997-01-30,10.48,10.68,9.88,9.93,8574800.0,0.5716533333333333,10.48,-0.55,-0.0525
1997-01-31,9.8,9.84,9.58,9.69,2293600.0,0.1529066666666666,9.93,-0.24,-0.0242
1997-02-17,9.65,9.88,9.5,9.79,821100.0,0.05474,9.69,0.1,0.0103
1997-02-18,9.73,9.82,8.81,8.81,948100.0,0.0632066666666666,9.79,-0.98,-0.1001
1997-02-19,8.83,9.5,8.83,9.34,1074600.0,0.07164,8.81,0.53,0.0602
1997-02-20,8.41,9.05,8.41,9.0,1119600.0,0.07464,9.34,-0.34,-0.0364
1997-02-21,9.0,9.44,9.0,9.37,847500.0,0.0565,9.0,0.37,0.0411
1997-02-24,9.5,9.6,9.15,9.18,702600.0,0.04684,9.37,-0.19,-0.0203
1997-02-25,9.2,9.3,9.12,9.16,465300.0,0.03102,9.18,-0.02,-0.0022
1997-02-26,9.17,9.3,9.1,9.28,429900.0,0.02866,9.16,0.12,0.0131
1997-02-27,9.35,9.4,9.2,9.25,505700.0,0.0337133333333333,9.28,-0.03,-0.0032
1997-02-28,9.25,9.48,9.08,9.46,998100.0,0.06654,9.25,0.21,0.0227
1997-03-03,9.48,9.79,9.45,9.69,917900.0,0.0611933333333333,9.46,0.23,0.0243
1997-03-04,9.36,10.28,9.36,10.12,2091800.0,0.1394533333333333,9.69,0.43,0.0444
1997-03-05,10.1,10.3,9.99,10.08,1775300.0,0.1183533333333333,10.12,-0.04,-0.004
1997-03-06,10.0,10.28,9.95,10.26,1461100.0,0.0974066666666666,10.08,0.18,0.0179
1997-03-07,10.3,10.34,9.89,10.01,944400.0,0.06296,10.26,-0.25,-0.0244
1997-03-10,10.2,10.9,10.1,10.9,2606800.0,0.1737866666666666,10.01,0.89,0.0889
1997-03-11,11.24,11.24,10.61,10.62,1649600.0,0.1099733333333333,10.9,-0.28,-0.0257
1997-03-12,10.8,11.5,10.7,11.4,2974000.0,0.1982666666666666,10.62,0.78,0.0734
