,id,profit,profit_percent,bars,profit_percent_per_bar,stock_id,sell_reason
0,sh603111-1,-368.53,-7.46,21,-0.36,sh603111,
1,sh603139-2,-631.46,-12.5,3,-4.17,sh603139,
2,sh600356-3,-656.13,-13.17,2,-6.58,sh600356,
3,sh600395-4,-493.87,-9.95,27,-0.37,sh600395,
4,sh600168-5,4223.99,85.01,192,0.44,sh600168,
5,sz002145-6,11882.57,239.1,224,1.07,sz002145,
6,sz002179-7,688.69,13.82,107,0.13,sz002179,
7,sz002186-8,-432.75,-8.69,20,-0.43,sz002186,
8,sh600008-9,2912.07,58.47,89,0.66,sh600008,
9,sh600008-10,1615.3,25.88,10,2.59,sh600008,
10,sh600020-11,2724.01,54.55,107,0.51,sh600020,
11,sh600020-12,1008.74,16.12,134,0.12,sh600020,
12,sh600020-13,-600.52,-8.72,19,-0.46,sh600020,
13,sh600578-14,-229.11,-4.57,13,-0.35,sh600578,
14,sh600578-15,-413.58,-8.34,54,-0.15,sh600578,
15,sh600578-16,27.6,0.58,10,0.06,sh600578,
16,sz002233-17,12496.46,251.35,224,1.12,sz002233,
17,sh600236-18,9407.46,186.92,155,1.21,sh600236,
18,sh600236-19,-738.69,-7.6,88,-0.09,sh600236,
19,sh600236-20,-786.27,-8.44,126,-0.07,sh600236,
20,sh600236-21,944.12,10.74,164,0.07,sh600236,
21,sh600586-22,-616.01,-12.25,22,-0.56,sh600586,
22,sz000419-23,-492.72,-9.87,18,-0.55,sz000419,
23,sh600545-24,-471.59,-9.53,25,-0.38,sh600545,
24,sz000800-26,-121.91,-2.47,3,-0.82,sz000800,
25,sz000800-27,-335.21,-6.95,8,-0.87,sz000800,
26,sh600035-28,-606.06,-11.66,91,-0.13,sh600035,
27,sh600035-29,12706.45,270.52,150,1.8,sh600035,
28,sh600035-30,-881.66,-7.93,61,-0.13,sh600035,
29,sh600009-31,-295.78,-5.95,56,-0.11,sh600009,
30,sh600009-32,-333.55,-6.84,110,-0.06,sh600009,
31,sh600009-33,1790.5,38.56,125,0.31,sh600009,
32,sz002024-34,-639.0,-12.62,26,-0.49,sz002024,
33,sh600196-35,2974.04,60.6,127,0.48,sh600196,
34,sh601288-36,565.37,11.31,53,0.21,sh601288,
35,sh601288-37,1597.09,30.13,132,0.23,sh601288,
36,sh601288-38,2138.92,35.09,366,0.1,sh601288,
37,sh601288-39,-790.4,-11.05,23,-0.48,sh601288,
38,sh601288-40,-506.37,-7.42,5,-1.48,sh601288,
39,sh600828-42,-156.25,-3.14,3,-1.05,sh600828,
40,sz002811-43,-559.28,-11.41,8,-1.43,sz002811,
41,sh600800-44,-594.89,-11.7,12,-0.97,sh600800,
42,sz000753-46,1596.09,33.09,38,0.87,sz000753,
43,sh603662-47,770.59,15.79,18,0.88,sh603662,
44,sz002344-48,-622.21,-12.36,129,-0.1,sz002344,
45,sh600355-49,-346.92,-6.87,2,-3.44,sh600355,
46,sz002393-50,-398.74,-7.97,17,-0.47,sz002393,
47,sh600396-51,-624.05,-12.42,15,-0.83,sh600396,
48,sh601088-52,-380.59,-7.61,31,-0.25,sh601088,
49,sz000989-53,-501.73,-10.1,57,-0.18,sz000989,
50,sz000792-54,2916.05,58.39,161,0.36,sz000792,
51,sz002807-55,-668.9,-12.88,44,-0.29,sz002807,
52,sz002807-56,-385.45,-8.45,16,-0.53,sz002807,
53,sz000157-57,3262.25,64.75,154,0.42,sz000157,
54,sz000631-58,-948.31,-18.27,17,-1.07,sz000631,
55,sz000619-59,422.55,8.47,52,0.16,sz000619,
56,sh600023-60,2555.71,50.21,168,0.3,sh600023,
57,sh600023-61,-429.99,-6.86,386,-0.02,sh600023,
58,sh600023-62,-613.73,-10.05,104,-0.1,sh600023,
59,sh600023-63,-798.79,-13.64,117,-0.12,sh600023,
60,sz000816-64,-423.43,-8.47,34,-0.25,sz000816,
61,sh601117-65,1041.35,20.92,123,0.17,sh601117,
62,sh601117-66,-616.75,-10.96,15,-0.73,sh601117,
63,sz002595-67,-681.99,-13.44,114,-0.12,sz002595,
64,sh601857-68,-256.05,-5.12,19,-0.27,sh601857,
65,sh601857-69,610.2,12.57,11,1.14,sh601857,
66,sh601857-70,633.82,12.33,299,0.04,sh601857,
67,sh601857-71,-447.47,-8.19,43,-0.19,sh601857,
68,sh601857-72,508.46,9.65,119,0.08,sh601857,
69,sz002594-73,447.55,9.08,56,0.16,sz002594,
70,sh601880-74,-276.64,-5.53,18,-0.31,sh601880,
71,sh601880-75,-919.3,-18.06,3,-6.02,sh601880,
72,sh600234-76,416.67,8.25,35,0.24,sh600234,
73,sz002543-77,3213.21,64.1,131,0.49,sz002543,
74,sz002557-78,-557.4,-11.26,56,-0.2,sz002557,
75,sh600208-79,3372.74,64.18,86,0.75,sh600208,
76,sh600208-80,-598.22,-8.98,53,-0.17,sh600208,
77,sz002966-81,-211.54,-4.25,6,-0.71,sz002966,
78,sz002966-82,-226.93,-4.68,16,-0.29,sz002966,
79,sh600022-83,2783.71,55.38,100,0.55,sh600022,
80,sh600022-84,-471.31,-7.4,52,-0.14,sh600022,
81,sh600036-85,248.43,4.95,48,0.1,sh600036,
82,sh600036-86,1842.48,35.65,128,0.28,sh600036,
