,id,box_p,box_os,profit_percent_per_year,max_loss_percent,max_drawdown_len,avg_drawdown_len
0,4-10,4,10,20.5,-25.29,7,1.65
1,4-20,4,20,16.0,-34.08,13,2.19
2,4-30,4,30,10.0,-39.77,13,2.33
3,4-40,4,40,13.0,-39.77,13,2.62
4,4-50,4,50,5.5,-39.77,13,2.91
5,4-60,4,60,7.000000000000001,-39.77,13,2.92
6,4-70,4,70,4.5,-39.77,13,2.99
7,4-80,4,80,8.0,-39.77,13,3.32
8,4-90,4,90,9.0,-39.77,13,3.41
9,5-10,5,10,19.5,-23.51,7,1.65
10,5-20,5,20,17.5,-34.08,13,2.0
11,5-30,5,30,10.0,-34.08,12,2.36
12,5-40,5,40,10.5,-34.08,12,2.59
13,5-50,5,50,4.5,-48.87,12,2.93
14,5-60,5,60,6.0,-34.43,12,2.93
15,5-70,5,70,8.0,-34.43,12,3.22
16,5-80,5,80,6.5,-34.43,12,3.46
17,5-90,5,90,7.5,-37.94,12,3.62
