,id,box_p,box_os,profit_percent_per_year,max_loss_percent,max_drawdown_len,avg_drawdown_len
0,5-10,5,10,7.5,-22.44,18,2.5
1,5-20,5,20,12.5,-26.23,19,3.17
2,5-30,5,30,12.5,-28.37,21,3.8
3,5-40,5,40,10.0,-33.66,23,4.56
4,5-50,5,50,15.0,-33.66,22,5.23
5,5-60,5,60,10.0,-33.66,26,5.34
6,5-70,5,70,12.5,-33.66,25,5.66
7,5-80,5,80,12.5,-35.79,23,5.77
8,5-90,5,90,12.5,-35.79,23,6.08
9,10-10,10,10,15.0,-23.0,14,2.31
10,10-20,10,20,17.5,-29.98,15,2.55
11,10-30,10,30,15.0,-29.98,23,3.14
12,10-40,10,40,12.5,-35.2,23,3.67
13,10-50,10,50,12.5,-35.2,22,4.21
14,10-60,10,60,7.5,-35.2,21,4.53
15,10-70,10,70,12.5,-35.2,21,4.9
16,10-80,10,80,7.5,-35.2,21,5.26
17,10-90,10,90,10.0,-35.2,21,6.02
18,15-10,15,10,12.5,-22.37,15,2.18
19,15-20,15,20,12.5,-29.98,14,2.55
20,15-30,15,30,12.5,-29.98,17,2.93
21,15-40,15,40,10.0,-35.2,19,3.31
22,15-50,15,50,7.5,-35.2,20,3.68
23,15-60,15,60,7.5,-35.2,20,4.35
24,15-70,15,70,12.5,-35.2,20,4.71
25,15-80,15,80,10.0,-35.2,20,4.78
26,15-90,15,90,10.0,-35.2,20,5.58
27,20-10,20,10,5.0,-19.16,14,2.19
28,20-20,20,20,15.0,-29.98,12,2.47
29,20-30,20,30,12.5,-29.98,16,2.85
30,20-40,20,40,10.0,-35.2,17,3.34
31,20-50,20,50,5.0,-35.2,17,3.89
32,20-60,20,60,5.0,-35.2,17,4.36
33,20-70,20,70,10.0,-35.2,17,4.51
34,20-80,20,80,7.5,-35.2,18,4.88
35,20-90,20,90,7.5,-35.2,17,5.28
36,25-10,25,10,7.5,-19.16,8,1.85
37,25-20,25,20,17.5,-29.98,15,2.33
38,25-30,25,30,12.5,-29.98,16,2.7
39,25-40,25,40,10.0,-29.98,16,3.04
40,25-50,25,50,5.0,-29.98,16,3.54
41,25-60,25,60,7.5,-36.59,16,3.98
42,25-70,25,70,10.0,-36.59,16,4.29
43,25-80,25,80,7.5,-36.59,16,4.86
44,25-90,25,90,7.5,-36.59,16,4.9
45,30-10,30,10,7.5,-19.16,6,1.85
46,30-20,30,20,20.0,-29.98,14,1.92
47,30-30,30,30,12.5,-34.51,14,2.56
48,30-40,30,40,10.0,-34.51,15,2.86
49,30-50,30,50,7.5,-35.17,15,3.31
50,30-60,30,60,7.5,-34.51,15,3.74
51,30-70,30,70,10.0,-34.51,15,4.25
52,30-80,30,80,5.0,-34.51,15,4.71
53,30-90,30,90,5.0,-34.51,15,4.86
54,35-10,35,10,22.5,-15.27,3,1.27
55,35-20,35,20,20.0,-23.03,10,1.97
56,35-30,35,30,15.0,-29.98,11,2.36
57,35-40,35,40,10.0,-34.51,13,2.76
58,35-50,35,50,7.5,-35.17,15,2.99
59,35-60,35,60,10.0,-34.51,14,3.34
60,35-70,35,70,12.5,-34.51,14,3.93
61,35-80,35,80,2.5,-34.51,14,4.29
62,35-90,35,90,5.0,-34.51,15,4.2
63,40-10,40,10,32.5,-14.28,2,1.4
64,40-20,40,20,22.5,-21.78,8,1.74
65,40-30,40,30,15.0,-29.98,10,2.1
66,40-40,40,40,12.5,-34.51,11,2.57
67,40-50,40,50,7.5,-34.51,11,2.72
68,40-60,40,60,10.0,-34.51,11,3.3
69,40-70,40,70,10.0,-34.51,11,3.6
70,40-80,40,80,5.0,-34.51,12,3.82
71,40-90,40,90,5.0,-41.64,12,3.71
72,45-10,45,10,32.5,-14.28,3,1.67
73,45-20,45,20,27.5,-26.06,6,1.49
