,id,profit,profit_percent,bars,profit_percent_per_bar,stock_id,sell_reason
0,sh600004-1,41.14,0.82,4,0.2,sh600004,
1,sh600004-2,-168.49,-3.38,3,-1.13,sh600004,
2,sh600007-3,-65.56,-1.32,5,-0.26,sh600007,
3,sh600008-4,-337.62,-6.77,3,-2.26,sh600008,
4,sh600009-5,101.42,2.05,7,0.29,sh600009,
5,sh600009-6,-88.17,-1.75,3,-0.58,sh600009,
6,sh600009-7,71.29,1.43,6,0.24,sh600009,
7,sh600009-8,47.51,0.95,8,0.12,sh600009,
8,sh600010-9,33.28,0.67,9,0.07,sh600010,
9,sh600010-10,94.33,1.88,16,0.12,sh600010,
10,sh600011-11,1003.88,19.33,10,1.93,sh600011,
11,sh600011-12,-320.32,-5.83,4,-1.46,sh600011,
12,sh600012-13,-110.54,-2.24,6,-0.37,sh600012,
13,sh600015-14,44.41,0.89,2,0.45,sh600015,
14,sh600017-15,-139.78,-2.8,3,-0.93,sh600017,
15,sh600018-16,-146.2,-2.89,11,-0.26,sh600018,
16,sh600019-17,-146.78,-2.93,2,-1.47,sh600019,
17,sh600019-18,-21.98,-0.45,3,-0.15,sh600019,
18,sh600021-19,1839.5,36.09,12,3.01,sh600021,
19,sh600021-20,-396.34,-6.52,4,-1.63,sh600021,
20,sh600022-21,512.05,10.24,9,1.14,sh600022,
21,sh600026-22,-298.15,-5.5,4,-1.38,sh600026,
22,sh600027-23,1103.13,21.5,17,1.26,sh600027,
23,sh600028-24,-190.69,-3.8,3,-1.27,sh600028,
24,sh600029-25,-237.01,-4.73,9,-0.53,sh600029,
25,sh600030-26,-209.35,-4.19,4,-1.05,sh600030,
26,sh600032-27,-73.76,-1.45,2,-0.72,sh600032,
27,sh600035-28,235.29,4.72,28,0.17,sh600035,
28,sh600036-29,55.48,1.11,12,0.09,sh600036,
29,sh600048-30,-59.65,-1.22,6,-0.2,sh600048,
30,sh600048-31,193.27,3.82,4,0.95,sh600048,
31,sh600048-32,-143.5,-2.8,5,-0.56,sh600048,
32,sh600050-33,-172.18,-3.45,4,-0.86,sh600050,
33,sh600053-34,-140.67,-2.87,4,-0.72,sh600053,
34,sh600053-35,-15.16,-0.31,9,-0.03,sh600053,
35,sh600055-36,333.95,6.6,7,0.94,sh600055,
36,sh600056-37,-660.67,-12.62,4,-3.15,sh600056,
37,sh600060-38,253.48,5.04,10,0.5,sh600060,
38,sh600060-39,-220.66,-4.31,1,-4.31,sh600060,
39,sh600060-40,-108.51,-2.17,3,-0.72,sh600060,
40,sh600063-41,-501.37,-9.95,1,-9.95,sh600063,
41,sh600066-42,-35.74,-0.73,2,-0.36,sh600066,
42,sh600067-43,-243.86,-4.86,3,-1.62,sh600067,
43,sh600070-44,-135.08,-2.75,3,-0.92,sh600070,
44,sh600075-45,-177.2,-3.53,1,-3.53,sh600075,
45,sh600076-46,-125.95,-2.6,5,-0.52,sh600076,
46,sh600078-47,-716.49,-13.64,3,-4.55,sh600078,
47,sh600078-48,-94.5,-2.06,5,-0.41,sh600078,
48,sh600080-49,125.75,2.52,12,0.21,sh600080,
49,sh600080-50,60.98,1.2,12,0.1,sh600080,
50,sh600080-51,19.71,0.39,9,0.04,sh600080,
51,sh600080-52,-242.77,-4.7,7,-0.67,sh600080,
52,sh600082-53,-131.52,-2.6,5,-0.52,sh600082,
53,sh600083-54,-368.85,-7.38,4,-1.84,sh600083,
54,sh600085-55,17.61,0.35,1,0.35,sh600085,
55,sh600085-56,-203.4,-4.04,3,-1.35,sh600085,
56,sh600089-57,-287.55,-5.75,3,-1.92,sh600089,
57,sh600090-58,-261.97,-5.22,2,-2.61,sh600090,
58,sh600090-59,-138.46,-2.87,6,-0.48,sh600090,
59,sh600094-60,-327.76,-6.51,10,-0.65,sh600094,
60,sh600094-61,176.93,3.69,19,0.19,sh600094,
61,sh600095-62,-230.22,-4.67,3,-1.56,sh600095,
62,sh600097-63,-224.84,-4.5,3,-1.5,sh600097,
63,sh600098-64,-63.06,-1.23,4,-0.31,sh600098,
64,sh600099-65,1133.19,22.08,7,3.15,sh600099,
65,sh600103-66,18.62,0.38,14,0.03,sh600103,
66,sh600107-67,-84.33,-1.69,2,-0.84,sh600107,
67,sh600107-68,-301.23,-5.52,3,-1.84,sh600107,
68,sh600108-69,-65.99,-1.36,2,-0.68,sh600108,
69,sh600108-70,0.0,0.0,3,0.0,sh600108,
70,sh600108-71,-179.8,-3.67,2,-1.83,sh600108,
71,sh600108-72,55.75,1.15,5,0.23,sh600108,
72,sh600109-73,-320.6,-6.41,2,-3.21,sh600109,
73,sh600111-74,-111.34,-2.23,3,-0.74,sh600111,
74,sh600111-75,257.79,5.33,5,1.07,sh600111,
75,sh600112-76,-123.91,-2.45,3,-0.82,sh600112,
76,sh600114-77,488.44,9.78,7,1.4,sh600114,
77,sh600115-78,-14.41,-0.29,3,-0.1,sh600115,
78,sh600115-79,-106.39,-2.14,3,-0.71,sh600115,
79,sh600120-80,71.84,1.45,5,0.29,sh600120,
80,sh600121-81,-95.54,-1.91,1,-1.91,sh600121,
81,sh600122-82,0.0,0.0,4,0.0,sh600122,
82,sh600122-83,-383.68,-7.56,4,-1.89,sh600122,
83,sh600125-84,-449.48,-8.76,2,-4.38,sh600125,
