,id,profit,profit_percent,bars,profit_percent_per_bar,stock_id,sell_reason
0,sz002353-1,74.67,1.5,2,0.75,sz002353,
1,sz000544-2,-161.62,-2.94,2,-1.47,sz000544,
2,sz000544-3,-202.78,-4.12,2,-2.06,sz000544,
3,sz000550-4,-50.63,-1.0,4,-0.25,sz000550,
4,sz000550-5,-973.14,-19.55,4,-4.89,sz000550,
5,sz001896-6,87.08,1.6,3,0.53,sz001896,
6,sh600418-7,0.0,0.0,2,0.0,sh600418,
7,sh600418-8,-110.89,-2.26,1,-2.26,sh600418,
8,sz002421-9,-153.45,-3.02,4,-0.76,sz002421,
9,sh603139-10,-500.24,-10.0,2,-5.0,sh603139,
10,sh600356-11,-385.5,-8.07,1,-8.07,sh600356,
11,sz002390-12,286.7,5.88,4,1.47,sz002390,
12,sh600395-13,-98.59,-2.0,1,-2.0,sh600395,
13,sh600381-14,-78.12,-1.64,1,-1.64,sh600381,
14,sz002151-15,164.2,3.33,4,0.83,sz002151,
15,sz000020-16,313.73,6.36,2,3.18,sz000020,
16,sz000020-17,129.14,2.57,1,2.57,sz000020,
17,sz000034-18,-21.62,-0.43,4,-0.11,sz000034,
18,sz002623-19,55.56,1.01,4,0.25,sz002623,
19,sz000752-20,-67.42,-1.35,2,-0.68,sz000752,
20,sh600626-21,-147.62,-3.0,2,-1.5,sh600626,
21,sh600626-22,-624.13,-12.17,2,-6.08,sh600626,
22,sz000008-23,4064.96,73.88,12,6.16,sz000008,
23,sz002179-24,-104.71,-2.11,1,-2.11,sz002179,
24,sz002192-25,-282.81,-5.66,2,-2.83,sz002192,
25,sz002192-26,96.1,1.97,4,0.49,sz002192,
26,sz000785-27,682.66,12.42,4,3.1,sz000785,
27,sh600815-28,728.57,13.25,4,3.31,sh600815,
28,sz000791-29,-412.62,-7.51,4,-1.88,sz000791,
29,sz000791-30,-220.12,-4.74,2,-2.37,sz000791,
30,sz000949-31,-148.03,-3.0,1,-3.0,sz000949,
31,sh600183-32,-76.09,-1.53,1,-1.53,sh600183,
32,sh600183-33,430.85,8.63,5,1.73,sh600183,
33,sz002743-34,-12.95,-0.27,1,-0.27,sz002743,
34,sz002031-35,15.17,0.31,1,0.31,sz002031,
35,sz002031-36,234.73,4.76,1,4.76,sz002031,
36,sh600008-37,75.43,1.52,2,0.76,sh600008,
37,sh600008-38,2206.44,45.29,6,7.55,sh600008,
38,sz000626-39,-440.31,-9.11,1,-9.11,sz000626,
39,sz000626-40,-217.05,-4.56,1,-4.56,sz000626,
