,id,profit,profit_percent,bars,profit_percent_per_bar,stock_id,sell_reason
0,sh600000-1,-649.53,-12.95,23,-0.56,sh600000,
1,sh600000-2,-1060.3,-22.51,15,-1.5,sh600000,
2,sh600000-3,2895.42,70.0,39,1.79,sh600000,
3,sh600000-4,-416.45,-7.43,23,-0.32,sh600000,
4,sh600000-5,-37.26,-0.69,6,-0.11,sh600000,
5,sh600000-6,-575.75,-10.66,42,-0.25,sh600000,
6,sh600000-7,-472.99,-9.21,8,-1.15,sh600000,
7,sh600004-8,-69.38,-1.39,25,-0.06,sh600004,
8,sh600004-9,-146.32,-2.94,14,-0.21,sh600004,
9,sh600004-10,3032.25,61.93,46,1.35,sh600004,
10,sh600004-11,3228.07,50.6,63,0.8,sh600004,
11,sh600004-12,4291.92,53.31,26,2.05,sh600004,
12,sh600004-13,-1780.92,-17.48,8,-2.19,sh600004,
13,sh600004-14,-1678.4,-18.09,13,-1.39,sh600004,
14,sh600006-16,-610.49,-12.18,3,-4.06,sh600006,
15,sh600006-17,-218.46,-4.65,5,-0.93,sh600006,
16,sh600006-18,-149.99,-3.28,4,-0.82,sh600006,
17,sh600006-19,3291.58,72.98,18,4.05,sh600006,
18,sh600006-20,-1212.21,-19.22,32,-0.6,sh600006,
19,sh600006-21,4190.05,75.8,18,4.21,sh600006,
20,sh600007-22,115.77,2.31,57,0.04,sh600007,
21,sh600007-23,-70.58,-1.4,3,-0.47,sh600007,
22,sh600007-24,-481.54,-9.41,4,-2.35,sh600007,
23,sh600007-25,-427.56,-8.98,1,-8.98,sh600007,
24,sh600007-26,2510.28,54.8,37,1.48,sh600007,
25,sh600007-27,-545.14,-9.59,4,-2.4,sh600007,
26,sh600007-28,-59.09,-1.07,29,-0.04,sh600007,
27,sh600007-29,-6.7,-0.12,22,-0.01,sh600007,
28,sh600007-30,-683.25,-12.46,29,-0.43,sh600007,
29,sh600007-31,-1456.87,-30.96,22,-1.41,sh600007,
30,sh600008-32,-217.29,-4.37,3,-1.46,sh600008,
31,sh600008-33,-350.61,-7.23,44,-0.16,sh600008,
32,sh600008-34,4228.47,89.56,29,3.09,sh600008,
33,sh600008-35,4774.29,69.9,14,4.99,sh600008,
34,sh600008-36,784.62,8.51,35,0.24,sh600008,
35,sh600008-37,-968.72,-10.14,5,-2.03,sh600008,
36,sh600009-38,-502.73,-10.12,7,-1.45,sh600009,
37,sh600009-39,-183.22,-3.86,2,-1.93,sh600009,
38,sh600009-40,-528.51,-11.31,20,-0.57,sh600009,
39,sh600009-41,167.38,3.79,25,0.15,sh600009,
40,sh600009-42,2850.44,63.22,28,2.26,sh600009,
41,sh600009-43,-581.46,-9.77,5,-1.95,sh600009,
42,sh600009-44,2987.74,52.86,46,1.15,sh600009,
43,sh600009-45,582.27,8.18,45,0.18,sh600009,
44,sh600009-46,-903.49,-12.25,7,-1.75,sh600009,
45,sh600009-47,-154.82,-2.24,3,-0.75,sh600009,
46,sh600010-49,3145.81,63.3,17,3.72,sh600010,
47,sh600010-50,-422.11,-6.42,8,-0.8,sh600010,
48,sh600010-51,379.6,5.99,34,0.18,sh600010,
49,sh600010-52,-458.98,-7.05,3,-2.35,sh600010,
50,sh600010-53,7265.11,115.72,29,3.99,sh600010,
51,sh600011-54,-326.93,-6.55,6,-1.09,sh600011,
52,sh600011-55,701.95,14.51,57,0.25,sh600011,
53,sh600011-56,2987.28,57.47,39,1.47,sh600011,
54,sh600011-57,-205.19,-3.07,26,-0.12,sh600011,
55,sh600011-58,-1033.98,-15.72,12,-1.31,sh600011,
56,sh600011-59,-125.47,-2.05,10,-0.2,sh600011,
57,sh600011-60,-205.69,-3.46,1,-3.46,sh600011,
58,sh600011-61,-782.16,-13.33,5,-2.67,sh600011,
59,sh600011-62,-151.72,-2.76,2,-1.38,sh600011,
60,sh600011-63,-894.32,-15.51,40,-0.39,sh600011,
61,sh600011-64,-1009.96,-20.2,4,-5.05,sh600011,
62,sh600012-65,-399.42,-7.94,6,-1.32,sh600012,
63,sh600012-66,-615.42,-12.9,14,-0.92,sh600012,
64,sh600012-67,-192.2,-4.26,4,-1.06,sh600012,
65,sh600012-68,2013.91,46.04,42,1.1,sh600012,
66,sh600012-69,-555.28,-10.21,4,-2.55,sh600012,
67,sh600012-70,15.18,0.3,37,0.01,sh600012,
68,sh600015-71,-1084.91,-21.51,19,-1.13,sh600015,
69,sh600015-72,3489.7,78.49,67,1.17,sh600015,
70,sh600015-73,-93.18,-1.5,29,-0.05,sh600015,
71,sh600015-74,85.98,1.4,21,0.07,sh600015,
72,sh600015-75,-486.09,-7.86,2,-3.93,sh600015,
73,sh600015-76,-241.73,-4.06,3,-1.35,sh600015,
74,sh600015-77,-728.57,-12.4,5,-2.48,sh600015,
75,sh600015-78,-162.16,-2.98,4,-0.74,sh600015,
76,sh600016-79,-624.41,-12.57,14,-0.9,sh600016,
77,sh600016-80,458.78,9.82,41,0.24,sh600016,
78,sh600016-81,-260.16,-5.33,13,-0.41,sh600016,
79,sh600016-82,2897.28,60.72,16,3.79,sh600016,
80,sh600016-83,74.49,1.19,33,0.04,sh600016,
81,sh600016-84,-321.38,-5.14,9,-0.57,sh600016,
82,sh600016-85,-382.33,-6.22,3,-2.07,sh600016,
83,sh600016-86,-406.84,-6.83,5,-1.37,sh600016,
84,sh600016-87,-166.75,-2.92,8,-0.36,sh600016,
85,sh600016-88,-250.55,-4.42,21,-0.21,sh600016,
