,id,profit,profit_percent,bars,profit_percent_per_bar,stock_id,sell_reason
0,sh600000-1,-498.56,-9.97,3,-3.32,sh600000,
1,sh600000-2,2579.67,54.3,34,1.6,sh600000,
2,sh600000-3,-446.78,-7.41,31,-0.24,sh600000,
3,sh600000-4,-425.51,-7.34,28,-0.26,sh600000,
4,sh600004-5,-543.3,-10.84,5,-2.17,sh600004,
5,sh600004-6,6842.72,144.55,38,3.8,sh600004,
6,sh600004-7,-413.07,-5.05,2,-2.52,sh600004,
7,sh600004-8,-647.49,-8.15,23,-0.35,sh600004,
8,sh600004-9,-276.83,-3.63,15,-0.24,sh600004,
9,sh600006-10,-385.62,-7.69,5,-1.54,sh600006,
10,sh600006-11,-229.33,-4.74,14,-0.34,sh600006,
11,sh600007-12,-403.69,-8.17,7,-1.17,sh600007,
12,sh600007-13,-416.27,-8.6,6,-1.43,sh600007,
13,sh600007-14,89.84,1.95,36,0.05,sh600007,
14,sh600007-15,-471.38,-9.98,4,-2.5,sh600007,
15,sh600007-16,-22.26,-0.51,19,-0.03,sh600007,
16,sh600008-17,-248.32,-4.87,26,-0.19,sh600008,
17,sh600008-18,152.51,3.13,42,0.07,sh600008,
18,sh600009-19,-524.57,-10.49,9,-1.17,sh600009,
19,sh600009-20,5805.86,121.52,44,2.76,sh600009,
20,sh600009-21,-785.93,-10.33,17,-0.61,sh600009,
21,sh600009-22,-755.79,-10.34,5,-2.07,sh600009,
22,sh600009-23,4732.88,68.48,90,0.76,sh600009,
23,sh600009-24,-191.88,-2.08,1,-2.08,sh600009,
24,sh600010-25,-530.64,-10.55,7,-1.51,sh600010,
25,sh600010-26,-424.99,-8.98,2,-4.49,sh600010,
26,sh600011-27,5875.78,114.5,37,3.09,sh600011,
27,sh600011-28,-251.74,-3.17,1,-3.17,sh600011,
28,sh600011-29,-776.19,-9.92,11,-0.9,sh600011,
29,sh600011-30,228.81,3.09,56,0.06,sh600011,
30,sh600011-31,-282.83,-3.76,18,-0.21,sh600011,
31,sh600011-32,-296.85,-4.05,1,-4.05,sh600011,
32,sh600012-33,-526.66,-10.59,1,-10.59,sh600012,
33,sh600012-34,211.62,4.48,42,0.11,sh600012,
34,sh600012-35,3089.29,63.53,83,0.77,sh600012,
35,sh600012-36,-379.39,-5.92,1,-5.92,sh600012,
