,id,profit_percent_per_year,max_loss_percent,max_drawdown_len,avg_drawdown_len,ma_period1,ma_period2,ma1_ma2_diff_percent,cross_up_high_percent,start_move_sl_percent,move_sl_percent
0,1,70.0,-83.09,0,0.0,10,60,0.01,0.1,0.5,0.05
1,2,70.0,-83.09,0,0.0,10,60,0.01,0.1,0.5,0.1
2,3,70.0,-83.09,0,0.0,10,60,0.01,0.1,0.5,0.15
3,4,70.0,-83.09,0,0.0,10,60,0.01,0.1,0.5,0.2
4,5,17.5,-83.09,0,0.0,10,60,0.01,0.1,0.6,0.05
5,6,17.5,-83.09,0,0.0,10,60,0.01,0.1,0.6,0.1
6,7,17.5,-83.09,0,0.0,10,60,0.01,0.1,0.6,0.15
7,8,17.5,-83.09,0,0.0,10,60,0.01,0.1,0.6,0.2
8,9,37.0,-83.09,0,0.0,10,60,0.01,0.1,0.7,0.05
9,10,37.0,-83.09,0,0.0,10,60,0.01,0.1,0.7,0.1
10,11,37.0,-83.09,0,0.0,10,60,0.01,0.1,0.7,0.15
11,12,37.0,-83.09,0,0.0,10,60,0.01,0.1,0.7,0.2
12,13,51.0,-83.09,0,0.0,10,60,0.01,0.1,0.8,0.05
13,14,51.0,-83.09,0,0.0,10,60,0.01,0.1,0.8,0.1
14,15,51.0,-83.09,0,0.0,10,60,0.01,0.1,0.8,0.15
15,16,51.0,-83.09,0,0.0,10,60,0.01,0.1,0.8,0.2
16,17,51.0,-83.09,0,0.0,10,60,0.01,0.1,0.9,0.05
17,18,51.0,-83.09,0,0.0,10,60,0.01,0.1,0.9,0.1
18,19,51.0,-83.09,0,0.0,10,60,0.01,0.1,0.9,0.15
19,20,51.0,-83.09,0,0.0,10,60,0.01,0.1,0.9,0.2
20,21,-9.0,-83.09,0,0.0,10,60,0.01,0.1,1.0,0.05
21,22,-9.0,-83.09,0,0.0,10,60,0.01,0.1,1.0,0.1
22,23,-9.0,-83.09,0,0.0,10,60,0.01,0.1,1.0,0.15
23,24,-9.0,-83.09,0,0.0,10,60,0.01,0.1,1.0,0.2
24,25,1.0,-83.09,0,0.0,10,60,0.01,0.1,1.1,0.05
25,26,1.0,-83.09,0,0.0,10,60,0.01,0.1,1.1,0.1
26,27,1.0,-83.09,0,0.0,10,60,0.01,0.1,1.1,0.15
27,28,1.0,-83.09,0,0.0,10,60,0.01,0.1,1.1,0.2
28,29,1.0,-83.09,0,0.0,10,60,0.01,0.1,1.2,0.05
29,30,1.0,-83.09,0,0.0,10,60,0.01,0.1,1.2,0.1
30,31,1.0,-83.09,0,0.0,10,60,0.01,0.1,1.2,0.15
31,32,1.0,-83.09,0,0.0,10,60,0.01,0.1,1.2,0.2
32,33,7.5,-83.09,0,0.0,10,60,0.01,0.1,1.3,0.05
33,34,7.5,-83.09,0,0.0,10,60,0.01,0.1,1.3,0.1
34,35,7.5,-83.09,0,0.0,10,60,0.01,0.1,1.3,0.15
35,36,7.5,-83.09,0,0.0,10,60,0.01,0.1,1.3,0.2
36,37,7.5,-83.09,0,0.0,10,60,0.01,0.1,1.4,0.05
37,38,7.5,-83.09,0,0.0,10,60,0.01,0.1,1.4,0.1
38,39,7.5,-83.09,0,0.0,10,60,0.01,0.1,1.4,0.15
39,40,7.5,-83.09,0,0.0,10,60,0.01,0.1,1.4,0.2
40,41,17.5,-83.09,0,0.0,10,60,0.01,0.1,1.5,0.05
41,42,17.5,-83.09,0,0.0,10,60,0.01,0.1,1.5,0.1
42,43,17.5,-83.09,0,0.0,10,60,0.01,0.1,1.5,0.15
43,44,17.5,-83.09,0,0.0,10,60,0.01,0.1,1.5,0.2
44,45,37.5,-83.09,0,0.0,10,60,0.01,0.15,0.5,0.05
45,46,37.5,-83.09,0,0.0,10,60,0.01,0.15,0.5,0.1
46,47,37.5,-83.09,0,0.0,10,60,0.01,0.15,0.5,0.15
47,48,37.5,-83.09,0,0.0,10,60,0.01,0.15,0.5,0.2
48,49,3.0,-83.09,0,0.0,10,60,0.01,0.15,0.6,0.05
49,50,3.0,-83.09,0,0.0,10,60,0.01,0.15,0.6,0.1
50,51,3.0,-83.09,0,0.0,10,60,0.01,0.15,0.6,0.15
51,52,3.0,-83.09,0,0.0,10,60,0.01,0.15,0.6,0.2
52,53,17.5,-83.09,0,0.0,10,60,0.01,0.15,0.7,0.05
53,54,17.5,-83.09,0,0.0,10,60,0.01,0.15,0.7,0.1
54,55,17.5,-83.09,0,0.0,10,60,0.01,0.15,0.7,0.15
55,56,17.5,-83.09,0,0.0,10,60,0.01,0.15,0.7,0.2
56,57,27.500000000000004,-83.09,0,0.0,10,60,0.01,0.15,0.8,0.05
57,58,27.500000000000004,-83.09,0,0.0,10,60,0.01,0.15,0.8,0.1
