,id,profit_percent_per_year,max_loss_percent,max_drawdown_len,avg_drawdown_len,earn_percent,ma_period1,ma_period2,ma1_ma2_diff_percent,cross_up_high_percent,start_move_sl_percent,move_sl_step
0,1,57.99999999999999,-35.73,5,1.5,34.5,10,60,0.01,0.4,0.5,10
1,2,68.5,-35.73,5,1.56,33.5,10,60,0.01,0.4,0.5,20
2,3,65.5,-35.73,5,1.58,33.25,10,60,0.01,0.4,0.5,30
3,4,64.0,-35.73,5,1.58,33.25,10,60,0.01,0.4,0.5,40
4,5,58.5,-35.73,5,1.54,34.0,10,60,0.01,0.4,0.7,10
5,6,68.5,-35.73,5,1.56,33.5,10,60,0.01,0.4,0.7,20
6,7,65.5,-35.73,5,1.58,33.25,10,60,0.01,0.4,0.7,30
7,8,64.0,-35.73,5,1.58,33.25,10,60,0.01,0.4,0.7,40
8,9,57.49999999999999,-35.73,5,1.55,33.5,10,60,0.01,0.4,0.9,10
9,10,68.0,-35.73,5,1.58,33.25,10,60,0.01,0.4,0.9,20
10,11,65.5,-35.73,5,1.58,33.25,10,60,0.01,0.4,0.9,30
11,12,64.0,-35.73,5,1.58,33.25,10,60,0.01,0.4,0.9,40
12,13,59.5,-35.73,5,1.51,34.74,10,60,0.01,0.45,0.5,10
13,14,69.5,-35.73,5,1.57,33.75,10,60,0.01,0.45,0.5,20
14,15,66.5,-35.73,5,1.59,33.5,10,60,0.01,0.45,0.5,30
15,16,65.0,-35.73,5,1.59,33.5,10,60,0.01,0.45,0.5,40
16,17,60.0,-35.73,5,1.55,34.24,10,60,0.01,0.45,0.7,10
17,18,69.5,-35.73,5,1.57,33.75,10,60,0.01,0.45,0.7,20
18,19,66.5,-35.73,5,1.59,33.5,10,60,0.01,0.45,0.7,30
19,20,65.0,-35.73,5,1.59,33.5,10,60,0.01,0.45,0.7,40
20,21,59.0,-35.73,5,1.56,33.75,10,60,0.01,0.45,0.9,10
21,22,69.0,-35.73,5,1.59,33.5,10,60,0.01,0.45,0.9,20
22,23,66.5,-35.73,5,1.59,33.5,10,60,0.01,0.45,0.9,30
23,24,65.0,-35.73,5,1.59,33.5,10,60,0.01,0.45,0.9,40
24,25,58.5,-35.73,5,1.49,35.05,10,60,0.01,0.5,0.5,10
25,26,68.5,-35.73,5,1.56,33.91,10,60,0.01,0.5,0.5,20
26,27,65.5,-35.73,5,1.6,33.42,10,60,0.01,0.5,0.5,30
27,28,64.0,-35.73,5,1.6,33.42,10,60,0.01,0.5,0.5,40
28,29,59.0,-35.73,5,1.52,34.56,10,60,0.01,0.5,0.7,10
29,30,68.5,-35.73,5,1.56,33.91,10,60,0.01,0.5,0.7,20
30,31,65.5,-35.73,5,1.6,33.42,10,60,0.01,0.5,0.7,30
31,32,64.0,-35.73,5,1.6,33.42,10,60,0.01,0.5,0.7,40
32,33,57.99999999999999,-35.73,5,1.57,33.66,10,60,0.01,0.5,0.9,10
33,34,68.0,-35.73,5,1.6,33.42,10,60,0.01,0.5,0.9,20
34,35,65.5,-35.73,5,1.6,33.42,10,60,0.01,0.5,0.9,30
35,36,64.0,-35.73,5,1.6,33.42,10,60,0.01,0.5,0.9,40
