,id,profit,profit_percent,bars,profit_percent_per_bar,stock_id,sell_reason
0,sh688136-1,-39.68,-0.8,1,-0.8,sh688136,
1,sh688136-2,62.54,1.24,3,0.41,sh688136,
2,sh688136-3,-189.39,-3.75,12,-0.31,sh688136,
3,sh603105-4,-71.94,-1.43,4,-0.36,sh603105,
4,sh603105-5,-193.15,-3.77,10,-0.38,sh603105,
5,sh603105-6,-79.75,-1.63,7,-0.23,sh603105,
6,sh603105-7,-217.46,-4.44,4,-1.11,sh603105,
7,sh603105-8,-50.52,-1.07,1,-1.07,sh603105,
8,sh603105-9,-43.4,-0.92,1,-0.92,sh603105,
9,sz002435-10,-122.35,-2.44,3,-0.81,sz002435,
10,sz002435-11,62.52,1.28,10,0.13,sz002435,
11,sz002435-12,-439.34,-8.66,6,-1.44,sz002435,
12,sz002435-13,-103.7,-2.19,1,-2.19,sz002435,
13,sz002435-14,90.13,1.91,12,0.16,sz002435,
14,sz002435-15,-165.41,-3.47,5,-0.69,sz002435,
15,sz002435-16,54.83,1.17,4,0.29,sz002435,
16,sz002435-17,-64.95,-1.39,1,-1.39,sz002435,
17,sz002435-18,44.1,0.95,1,0.95,sz002435,
18,sz002435-19,127.8,2.73,1,2.73,sz002435,
19,sz002435-20,10.55,0.22,3,0.07,sz002435,
20,sz002435-21,-26.37,-0.55,4,-0.14,sz002435,
21,sz002435-22,-135.41,-2.84,1,-2.84,sz002435,
22,sz002435-23,-61.47,-1.32,2,-0.66,sz002435,
23,sz002435-24,42.2,0.91,11,0.08,sz002435,
24,sz002435-25,-19.11,-0.41,1,-0.41,sz002435,
25,sz002435-26,-158.12,-3.43,1,-3.43,sz002435,
26,sz002435-27,-164.02,-3.6,1,-3.6,sz002435,
27,sz002435-28,-276.7,-6.37,11,-0.58,sz002435,
28,sz002353-29,-196.63,-3.94,9,-0.44,sz002353,
29,sz002353-30,203.98,4.18,9,0.46,sz002353,
30,sz002353-31,-33.25,-0.67,1,-0.67,sz002353,
31,sz002353-32,-53.26,-1.07,5,-0.21,sz002353,
32,sz002353-33,-102.19,-2.06,1,-2.06,sz002353,
33,sz002353-34,-12.31,-0.25,1,-0.25,sz002353,
34,sz002353-35,16.49,0.34,1,0.34,sz002353,
35,sz002353-36,34.99,0.72,1,0.72,sz002353,
36,sz002353-37,-114.78,-2.31,8,-0.29,sz002353,
37,sz002353-38,-253.73,-5.21,5,-1.04,sz002353,
38,sz002353-39,-71.48,-1.51,13,-0.12,sz002353,
39,sz002353-40,-117.97,-2.53,1,-2.53,sz002353,
40,sz002353-41,34.52,0.75,1,0.75,sz002353,
41,sz002353-42,-80.63,-1.75,4,-0.44,sz002353,
42,sz000544-43,-207.58,-4.15,1,-4.15,sz000544,
43,sz000544-44,66.29,1.36,21,0.06,sz000544,
44,sz000544-45,-90.08,-1.84,1,-1.84,sz000544,
45,sz000544-46,18.77,0.38,1,0.38,sz000544,
46,sz000544-47,-81.16,-1.67,6,-0.28,sz000544,
47,sz000544-48,26.02,0.54,1,0.54,sz000544,
48,sz000544-49,58.68,1.21,1,1.21,sz000544,
49,sz000544-50,-132.31,-2.68,5,-0.54,sz000544,
50,sz000544-51,-164.69,-3.41,3,-1.14,sz000544,
51,sz000544-52,-25.08,-0.53,1,-0.53,sz000544,
52,sz000544-53,-167.74,-3.63,1,-3.63,sz000544,
53,sz000544-54,13.82,0.3,1,0.3,sz000544,
54,sz000544-55,-259.71,-5.54,3,-1.85,sz000544,
55,sz000544-56,-29.98,-0.66,1,-0.66,sz000544,
56,sz000544-57,306.83,6.7,24,0.28,sz000544,
57,sz000544-58,89.2,1.91,43,0.04,sz000544,
58,sz000544-59,-103.0,-2.18,5,-0.44,sz000544,
59,sz000544-60,-43.82,-0.94,2,-0.47,sz000544,
60,sh603663-61,446.46,8.94,39,0.23,sh603663,
61,sh603663-62,-89.13,-1.69,1,-1.69,sh603663,
