,id,profit,profit_percent,bars,profit_percent_per_bar,stock_id,sell_reason
0,sz000587-1,498.92,10.16,9,1.13,sz000587,
1,sz000752-2,807.89,16.31,32,0.51,sz000752,
2,sz002019-3,1664.77,31.81,17,1.87,sz002019,
3,sh600960-4,361.1,7.3,9,0.81,sh600960,
4,sz002781-5,-714.29,-14.41,3,-4.8,sz002781,
5,sz002178-6,366.09,7.42,14,0.53,sz002178,
6,sh600355-7,142.68,2.94,5,0.59,sh600355,
7,sh600433-8,380.24,7.67,11,0.7,sh600433,
8,sz002581-9,526.97,10.46,13,0.8,sz002581,
9,sz002219-10,249.36,4.95,6,0.83,sz002219,
10,sz002219-11,-506.66,-9.61,2,-4.8,sz002219,
11,sz000793-12,197.47,4.04,9,0.45,sz000793,
12,sz000778-13,-305.35,-6.07,22,-0.28,sz000778,
13,sz002437-14,-320.95,-6.42,18,-0.36,sz002437,
14,sh600191-15,-432.52,-8.63,5,-1.73,sh600191,
15,sz000807-16,317.37,6.46,6,1.08,sz000807,
16,sh600581-17,-198.0,-3.98,6,-0.66,sh600581,
17,sz002584-18,-369.94,-7.13,8,-0.89,sz002584,
18,sz002585-19,-451.9,-8.98,1,-8.98,sz002585,
19,sh600796-20,419.5,8.41,17,0.49,sh600796,
20,sz002618-21,14.4,0.29,6,0.05,sz002618,
21,sz002354-22,-254.14,-5.07,14,-0.36,sz002354,
22,sh600423-23,165.17,3.34,7,0.48,sh600423,
23,sz002418-24,-244.18,-4.94,5,-0.99,sz002418,
24,sh600623-25,616.88,12.55,5,2.51,sh600623,
25,sz002578-26,-524.87,-9.54,12,-0.79,sz002578,
26,sh600781-27,500.85,9.96,17,0.59,sh600781,
27,sz000971-28,-535.94,-10.82,2,-5.41,sz000971,
28,sh600193-29,29.19,0.58,6,0.1,sh600193,
29,sh600532-30,-909.66,-18.33,2,-9.16,sh600532,
30,sz002721-31,89.29,1.83,11,0.17,sz002721,
31,sz002319-32,-277.46,-5.38,2,-2.69,sz002319,
32,sh603167-33,-80.0,-1.59,8,-0.2,sh603167,
33,sh603159-34,-885.65,-17.79,2,-8.89,sh603159,
34,sz002482-35,-460.62,-9.32,6,-1.55,sz002482,
35,sh601969-36,488.47,9.85,9,1.09,sh601969,
36,sh603978-37,-25.02,-0.49,11,-0.04,sh603978,
