,id,profit,profit_percent,bars,profit_percent_per_bar,stock_id,sell_reason
0,sh600000-1,433.8,8.63,16,0.54,sh600000,
1,sh600000-2,-80.12,-1.54,21,-0.07,sh600000,
2,sh600000-3,-21.08,-0.41,1,-0.41,sh600000,
3,sh600000-4,-57.69,-1.12,4,-0.28,sh600000,
4,sh600000-5,-139.26,-2.71,3,-0.9,sh600000,
5,sh600004-6,-80.57,-1.62,3,-0.54,sh600004,
6,sh600004-7,1121.7,22.67,37,0.61,sh600004,
7,sh600004-8,408.0,7.41,4,1.85,sh600004,
8,sh600006-10,374.86,7.45,8,0.93,sh600006,
9,sh600006-11,-128.33,-2.5,1,-2.5,sh600006,
10,sh600006-12,-100.56,-1.96,2,-0.98,sh600006,
11,sh600006-13,-280.63,-5.63,4,-1.41,sh600006,
12,sh600006-14,304.64,6.25,4,1.56,sh600006,
13,sh600006-15,-180.8,-3.52,4,-0.88,sh600006,
14,sh600007-16,-195.42,-3.9,3,-1.3,sh600007,
15,sh600007-17,-63.59,-1.29,1,-1.29,sh600007,
16,sh600007-18,-150.16,-3.08,5,-0.62,sh600007,
17,sh600008-19,-217.65,-4.33,5,-0.87,sh600008,
18,sh600008-20,-331.84,-6.86,4,-1.72,sh600008,
19,sh600008-21,-42.06,-0.89,23,-0.04,sh600008,
20,sh600008-22,-254.67,-5.36,22,-0.24,sh600008,
21,sh600008-23,341.04,7.5,46,0.16,sh600008,
22,sh600008-24,-294.11,-6.24,2,-3.12,sh600008,
23,sh600008-25,-122.19,-2.65,2,-1.32,sh600008,
24,sh600009-26,-79.88,-1.62,2,-0.81,sh600009,
25,sh600009-27,-55.03,-1.11,17,-0.07,sh600009,
26,sh600009-28,-74.7,-1.53,1,-1.53,sh600009,
27,sh600009-29,-141.53,-2.9,2,-1.45,sh600009,
28,sh600009-30,-175.69,-3.66,15,-0.24,sh600009,
29,sh600009-31,-378.86,-8.0,8,-1.0,sh600009,
30,sh600009-32,-166.75,-3.72,3,-1.24,sh600009,
31,sh600009-33,-320.88,-7.33,2,-3.67,sh600009,
32,sh600009-34,-161.77,-3.78,2,-1.89,sh600009,
33,sh600010-35,-417.71,-8.49,3,-2.83,sh600010,
34,sh600010-36,-410.27,-8.61,14,-0.61,sh600010,
35,sh600010-37,214.21,4.57,5,0.91,sh600010,
36,sh600010-38,1482.9,31.71,10,3.17,sh600010,
37,sh600010-39,-243.7,-4.52,8,-0.56,sh600010,
38,sh600010-40,-289.42,-5.4,3,-1.8,sh600010,
39,sh600011-41,-114.94,-2.3,7,-0.33,sh600011,
40,sh600011-42,-286.16,-5.85,4,-1.46,sh600011,
41,sh600011-43,932.89,18.76,8,2.35,sh600011,
42,sh600011-44,198.2,3.76,5,0.75,sh600011,
43,sh600011-45,-353.8,-6.56,6,-1.09,sh600011,
44,sh600011-46,-18.97,-0.37,5,-0.07,sh600011,
45,sh600011-47,-532.93,-10.28,11,-0.93,sh600011,
46,sh600012-48,-83.8,-1.68,24,-0.07,sh600012,
47,sh600012-49,-64.25,-1.29,1,-1.29,sh600012,
48,sh600012-50,-177.58,-3.59,6,-0.6,sh600012,
49,sh600012-51,-90.23,-1.88,1,-1.88,sh600012,
50,sh600012-52,-118.53,-2.47,10,-0.25,sh600012,
51,sh600012-53,-135.64,-2.87,3,-0.96,sh600012,
52,sh600012-54,-513.63,-11.16,5,-2.23,sh600012,
53,sh600012-55,285.69,6.48,31,0.21,sh600012,
54,sh600012-56,720.1,15.58,4,3.9,sh600012,
55,sh600012-57,-101.39,-2.07,4,-0.52,sh600012,
56,sh600012-58,-84.07,-1.73,2,-0.86,sh600012,
57,sh600015-59,-63.2,-1.26,25,-0.05,sh600015,
58,sh600015-60,-64.52,-1.3,6,-0.22,sh600015,
59,sh600015-61,-39.21,-0.79,6,-0.13,sh600015,
60,sh600016-63,406.98,8.14,15,0.54,sh600016,
61,sh600016-64,-101.72,-1.95,28,-0.07,sh600016,
62,sh600016-65,-70.21,-1.37,5,-0.27,sh600016,
63,sh600017-66,-37.08,-0.74,3,-0.25,sh600017,
64,sh600017-67,-46.85,-0.94,6,-0.16,sh600017,
65,sh600017-68,-152.31,-3.09,18,-0.17,sh600017,
66,sh600017-69,-206.42,-4.21,3,-1.4,sh600017,
67,sh600017-70,231.63,4.85,16,0.3,sh600017,
68,sh600017-71,-103.61,-2.12,3,-0.71,sh600017,
69,sh600018-72,278.22,5.57,5,1.11,sh600018,
70,sh600018-73,-102.78,-2.0,2,-1.0,sh600018,
71,sh600018-74,-127.79,-2.51,2,-1.25,sh600018,
72,sh600018-75,-180.5,-3.58,7,-0.51,sh600018,
73,sh600018-76,149.28,3.04,16,0.19,sh600018,
74,sh600018-77,-138.11,-2.75,2,-1.38,sh600018,
75,sh600018-78,755.32,15.42,24,0.64,sh600018,
76,sh600018-79,-28.77,-0.55,4,-0.14,sh600018,
77,sh600018-80,-291.54,-5.5,8,-0.69,sh600018,
78,sh600018-81,-71.62,-1.39,2,-0.69,sh600018,
79,sh600018-82,-121.35,-2.36,5,-0.47,sh600018,
