,dt,Open,Close,High,Low,Vol
0,2010-03-31,53.0,50.0,53.0,49.51,580264205.13
1,2010-04-01,49.7,53.0,55.0,49.7,492992239.84
2,2010-04-02,51.32,50.98,51.98,49.99,277496422.1
3,2010-04-06,51.0,51.22,51.38,50.0,141783618.06
4,2010-04-07,51.11,53.68,54.19,50.62,289223261.93
5,2010-04-08,53.04,51.46,53.98,51.3,185357572.86
6,2010-04-09,51.19,51.18,51.76,50.36,99395933.81
7,2010-04-12,51.17,50.9,51.99,50.65,100850140.53
8,2010-04-13,50.9,46.97,51.38,45.85,170291295.41
9,2010-04-14,46.97,46.0,46.97,45.8,73441486.55
10,2010-04-15,46.06,44.12,46.83,43.01,88753096.72
11,2010-04-16,44.11,44.26,44.8,43.02,55506154.85
12,2010-04-19,44.0,44.31,45.19,43.5,58061282.11
13,2010-04-20,44.33,43.01,44.9,41.12,53236468.04
14,2010-04-21,42.9,45.9,45.98,42.6,70337083.62
15,2010-04-22,45.3,46.32,46.65,45.13,86957187.93
16,2010-04-23,46.08,45.45,47.38,45.36,90264670.56
17,2010-04-26,45.4,44.5,46.4,44.5,53876925.68
18,2010-04-27,44.51,42.41,44.51,42.03,37343935.2
19,2010-04-28,41.9,42.69,42.88,41.3,24464728.11
20,2010-04-29,42.69,40.8,43.39,40.8,36262735.35
21,2010-04-30,40.5,38.88,40.5,38.33,39125697.09
22,2010-05-04,38.12,39.09,39.3,38.12,18352654.39
23,2010-05-05,38.8,40.4,40.59,38.6,28221628.94
24,2010-05-06,40.41,38.4,40.69,38.4,29678294.76
25,2010-05-07,37.6,37.16,38.86,37.0,28318286.47
26,2010-05-10,37.2,35.89,37.79,35.05,29363397.18
27,2010-05-11,36.45,33.98,36.93,33.54,26259124.52
28,2010-05-12,33.49,33.16,34.35,33.03,24536516.97
29,2010-05-13,33.09,34.49,34.65,32.78,28155125.1
30,2010-05-14,34.01,34.46,34.78,33.66,20351053.88
31,2010-05-17,34.0,33.2,34.18,33.08,22870229.59
32,2010-05-18,33.1,34.73,34.88,33.0,35901388.2
33,2010-05-19,34.47,35.78,36.78,34.26,54488062.49
34,2010-05-21,33.95,36.77,36.79,33.5,46989431.78
35,2010-05-24,37.04,39.0,40.44,37.0,66724847.5
36,2010-05-25,38.78,39.1,39.4,38.12,43487460.78
37,2010-05-26,38.88,38.45,39.5,38.2,27194930.77
38,2010-05-27,38.4,39.4,39.69,37.5,43223238.31
39,2010-05-28,40.0,39.32,40.16,38.5,53055015.19
40,2010-05-31,39.29,36.8,39.29,36.8,34342519.46
41,2010-06-01,36.53,35.5,37.14,34.81,35977130.06
42,2010-06-02,35.0,36.13,36.2,34.91,17154582.03
43,2010-06-03,36.41,37.15,37.58,36.13,37636874.18
44,2010-06-04,36.78,38.4,38.58,36.51,30732586.67
45,2010-06-07,37.51,39.18,39.43,37.38,40586246.68
46,2010-06-08,39.02,39.12,39.99,38.31,33223959.85
47,2010-06-09,39.49,40.98,41.1,39.49,102325505.07
48,2010-06-10,41.6,41.5,42.66,39.0,108315425.73
49,2010-06-11,41.99,42.08,42.54,40.84,96131579.96
50,2010-06-17,42.36,39.78,42.36,39.74,49171871.16
51,2010-06-18,39.3,37.17,39.9,37.08,33483401.55
52,2010-06-21,36.81,38.86,39.0,36.51,21903739.66
53,2010-06-22,38.86,38.91,39.3,38.6,18514660.64
