date,close,open,high,low,volume
1990-12-20,104.39,104.3,104.39,99.98,0.0
1990-12-21,109.13,109.07,109.13,103.73,0.0
1990-12-24,114.55,113.57,114.55,109.13,0.0
1990-12-25,120.25,120.09,120.25,114.55,0.0
1990-12-26,125.27,125.27,125.27,120.25,0.0
1990-12-27,125.28,125.27,125.28,125.27,0.0
1990-12-28,126.45,126.39,126.45,125.28,0.0
1990-12-31,127.61,126.56,127.61,126.48,0.0
1991-01-02,128.84,127.61,128.84,127.61,0.0
1991-01-03,130.14,128.84,130.14,128.84,0.0
1991-01-04,131.44,131.27,131.44,130.14,0.0
1991-01-07,132.06,131.99,132.06,131.45,0.0
1991-01-08,132.68,132.62,132.68,132.06,0.0
1991-01-09,133.34,133.3,133.34,132.68,0.0
1991-01-10,133.97,133.93,133.97,133.34,0.0
1991-01-11,134.6,134.61,134.61,134.51,0.0
1991-01-14,134.67,134.11,135.19,134.11,0.0
1991-01-15,134.74,134.21,134.74,134.19,0.0
1991-01-16,134.24,134.19,134.74,134.14,0.0
1991-01-17,134.25,133.67,134.25,133.65,0.0
1991-01-18,134.24,133.7,134.25,133.67,0.0
1991-01-21,134.24,133.7,134.24,133.66,0.0
1991-01-22,133.72,133.72,134.24,133.66,0.0
1991-01-23,133.17,133.17,133.72,133.14,0.0
1991-01-24,132.61,132.61,133.17,132.57,0.0
1991-01-25,132.05,132.05,132.07,132.03,0.0
1991-01-28,131.46,131.46,131.55,131.46,0.0
1991-01-29,130.95,130.95,130.97,130.95,0.0
1991-01-30,130.44,130.44,130.95,130.41,0.0
1991-01-31,129.97,129.93,130.46,129.93,0.0
1991-02-01,129.51,129.5,129.97,129.45,0.0
1991-02-04,129.05,129.05,129.58,129.05,0.0
1991-02-05,128.58,128.56,128.58,128.53,0.0
1991-02-06,129.14,129.13,129.15,128.06,0.0
1991-02-07,129.79,129.74,129.79,129.14,0.0
1991-02-08,130.38,130.36,130.39,129.79,0.0
1991-02-11,130.97,130.92,130.97,130.39,0.0
1991-02-12,131.35,131.54,131.56,130.97,0.0
1991-02-13,131.92,131.93,131.93,131.35,0.0
1991-02-14,132.53,132.53,132.53,132.3,0.0
1991-02-19,133.13,133.12,133.14,133.08,0.0
1991-02-20,133.67,133.63,133.67,133.13,0.0
1991-02-21,134.28,134.24,134.28,133.67,0.0
1991-02-22,134.87,134.85,134.87,134.28,0.0
1991-02-25,134.4,134.37,134.87,134.33,0.0
1991-02-26,133.93,133.9,134.44,133.9,0.0
1991-02-27,133.47,133.44,133.98,133.44,0.0
1991-02-28,133.01,132.99,133.52,132.98,0.0
1991-03-01,132.53,132.53,132.53,132.47,0.0
1991-03-04,131.99,132.09,132.09,131.98,0.0
1991-03-05,131.46,131.42,131.99,131.41,0.0
1991-03-06,130.94,130.89,130.95,130.89,0.0
1991-03-07,130.41,130.41,130.94,130.41,0.0
1991-03-08,129.89,129.84,130.41,129.84,0.0
1991-03-11,129.31,129.3,129.89,129.3,0.0
1991-03-12,128.77,128.73,129.31,128.73,0.0
1991-03-13,126.15,126.13,128.77,126.13,0.0
1991-03-14,125.63,125.61,126.15,125.61,0.0
1991-03-15,125.17,125.08,125.62,125.08,0.0
1991-03-18,124.71,124.7,125.17,124.69,0.0
1991-03-19,124.22,124.23,124.71,124.22,0.0
1991-03-20,123.66,123.66,124.21,123.63,0.0
1991-03-21,123.12,123.14,123.66,123.12,0.0
1991-03-22,122.62,122.62,123.12,122.62,0.0
1991-03-25,122.12,122.12,122.62,122.1,0.0
1991-03-26,121.62,121.62,122.14,121.62,0.0
1991-03-27,121.12,121.12,121.64,121.12,0.0
1991-03-28,120.61,120.65,121.15,120.61,0.0
1991-03-29,120.19,120.16,120.61,120.11,0.0
1991-04-01,120.73,120.69,120.73,119.68,0.0
1991-04-02,121.21,121.21,121.29,120.73,0.0
1991-04-03,121.71,121.71,121.71,121.21,0.0
1991-04-04,121.72,122.2,122.2,121.24,0.0
1991-04-05,121.54,121.07,121.73,121.03,0.0
1991-04-08,121.09,121.11,121.11,121.05,0.0
1991-04-09,120.62,120.6,121.1,120.6,0.0
1991-04-10,120.16,120.15,120.62,120.09,0.0
1991-04-11,119.64,119.64,120.16,119.62,0.0
1991-04-12,119.21,119.2,119.65,119.15,0.0
1991-04-15,118.77,118.73,119.22,118.72,0.0
1991-04-16,118.34,118.36,118.77,118.34,0.0
1991-04-17,117.9,117.92,118.34,117.89,0.0
1991-04-18,117.45,117.45,117.93,117.45,0.0
1991-04-19,117.08,117.08,117.5,117.05,0.0
1991-04-22,116.63,116.63,117.08,116.58,0.0
1991-04-23,116.19,116.21,116.63,116.15,0.0
1991-04-24,115.79,115.7,116.19,115.7,0.0
1991-04-25,115.36,115.38,115.79,115.33,0.0
1991-04-26,115.56,116.31,116.31,114.52,0.0
1991-04-29,114.75,114.86,116.29,114.75,0.0
1991-04-30,113.94,113.89,114.87,113.89,0.0
1991-05-02,113.16,113.04,113.2,113.03,0.0
1991-05-03,112.41,112.46,113.17,112.3,0.0
1991-05-06,111.61,111.65,112.41,111.57,0.0
1991-05-07,110.82,110.8,110.9,110.8,0.0
1991-05-08,110.03,110.16,110.82,110.0,0.0
