date,open,high,low,close,volume,turnover,pre-close,changeamount,change
2016-11-25,10.0,10.0,10.0,10.0,1000.0,4.039540639596628e-05,10.0,0.0,0.0
2016-12-01,2.5,2.5,2.5,2.5,1000.0,4.039540639596628e-05,10.0,-7.5,-0.75
2016-12-05,1.5,2.0,1.5,1.75,2000.0,8.079081279193256e-05,2.5,-0.75,-0.3
2016-12-06,2.6,2.6,2.6,2.6,1000.0,4.039540639596628e-05,1.75,0.85,0.4857
2017-11-02,3.88,3.88,3.88,3.88,1000.0,2.830563381748799e-05,2.6,1.28,0.4923
2017-11-24,4.88,4.88,4.88,4.88,2000.0,5.661126763497598e-05,3.88,1.0,0.2577
2018-01-10,5.0,5.0,5.0,5.0,10000.0,0.0002830623473692,4.88,0.12,0.0246
2018-01-19,5.0,5.0,5.0,5.0,1000.0,2.8306234736924403e-05,5.0,0.0,0.0
2018-01-23,5.0,5.0,5.0,5.0,9000.0,0.0002547561126323,5.0,0.0,0.0
2018-01-24,4.0,4.0,4.0,4.0,12000.0,0.000339674816843,5.0,-1.0,-0.2
2018-01-25,5.0,5.0,5.0,5.0,3000.0,8.491870421077321e-05,4.0,1.0,0.25
2018-04-18,3.8,3.8,3.8,3.8,3000.0,8.491870421077321e-05,5.0,-1.2,-0.24
2018-09-06,3.8,3.8,3.8,3.8,1000.0,2.8649458235879813e-05,3.8,0.0,0.0
2018-09-07,3.8,3.8,3.8,3.8,49000.0,0.0014038234535581,3.8,0.0,0.0
2019-01-25,3.8,3.8,3.8,3.8,5000.0,0.0001375812024894,3.8,0.0,0.0
2019-02-26,4.0,4.0,4.0,4.0,10000.0,0.0002751624049788,3.8,0.2,0.0526
2019-02-27,4.0,4.0,4.0,4.0,1000.0,2.751624049788546e-05,4.0,0.0,0.0
2019-02-28,3.99,3.99,3.99,3.99,1000.0,2.751624049788546e-05,4.0,-0.01,-0.0025
2019-03-12,3.8,3.8,3.8,3.8,6000.0,0.0001650974429873,3.99,-0.19,-0.0476
2019-03-13,4.0,4.0,4.0,4.0,4000.0,0.0001100649619915,3.8,0.2,0.0526
2019-03-21,4.0,4.0,4.0,4.0,2000.0,5.503248099577092e-05,4.0,0.0,0.0
2019-04-11,3.0,3.0,3.0,3.0,10000.0,0.0002751624049788,4.0,-1.0,-0.25
2019-04-12,3.79,3.79,3.79,3.79,1000.0,2.1166338934130057e-05,3.0,0.79,0.2633
2019-05-08,3.0,3.0,3.0,3.0,1300.0,2.7516240614369075e-05,3.79,-0.79,-0.2084
2019-05-15,4.0,4.0,4.0,4.0,900.0,1.904970504071705e-05,3.0,1.0,0.3333
2019-05-29,4.0,4.0,4.0,4.0,1300.0,2.7516240614369075e-05,4.0,0.0,0.0
2019-07-05,,,,0.0,1700000.0,0.0359872322380569,4.0,-4.0,-1.0
2019-07-10,,,,,1669700.0,0.0353458127458139,0.0,3.0,inf
2019-07-11,,,,,15000.0,0.0003175344021005,3.0,0.8,0.2667
2019-07-12,,,,,173000.0,0.0036622301042257,3.8,-3.8,-1.0
2019-07-15,,,,,13000.0,0.0002751964818204,0.0,4.0,inf
2019-11-28,,,,,1000.0,2.0292409563325608e-05,4.0,2.0,0.5
