date,open,high,low,close,volume,turnover,pre-close,changeamount,change
2015-01-28,15.02,18.03,15.02,18.03,62300.0,0.0007569866342648,15.02,3.01,0.2004
2015-01-29,19.83,19.83,19.83,19.83,21300.0,0.0002588092345078,18.03,1.8,0.0998
2015-01-30,21.81,21.81,21.81,21.81,32400.0,0.0003936816524908,19.83,1.98,0.0998
2015-02-02,23.99,23.99,23.99,23.99,110500.0,0.0013426488456865,21.81,2.18,0.1
2015-02-03,26.39,26.39,26.39,26.39,129700.0,0.0015759416767922,23.99,2.4,0.1
2015-02-04,29.03,29.03,29.03,29.03,140301.0,0.0017047509113001,26.39,2.64,0.1
2015-02-05,31.93,31.93,31.93,31.93,231500.0,0.0028128797083839,29.03,2.9,0.0999
2015-02-06,35.12,35.12,29.71,33.75,52177008.0,0.6339855164034022,31.93,1.82,0.057
2015-02-09,31.5,31.97,30.38,30.38,15573330.0,0.1892263669501822,33.75,-3.37,-0.0999
2015-02-10,28.91,29.38,28.02,28.69,22489564.0,0.2732632320777642,30.38,-1.69,-0.0556
2015-02-11,28.9,29.62,28.56,28.9,17702014.0,0.2150913001215066,28.69,0.21,0.0073
2015-02-12,29.0,29.57,27.72,28.51,18434112.0,0.223986780072904,28.9,-0.39,-0.0135
2015-02-13,28.68,30.76,28.41,30.06,20743030.0,0.2520416767922235,28.51,1.56,0.0547
2015-02-16,29.64,30.47,29.29,29.86,16331488.0,0.1984384933171324,30.07,-0.2,-0.0067
2015-02-17,29.86,30.07,29.0,29.11,10154167.0,0.123379914945322,29.87,-0.75,-0.0251
2015-02-25,29.09,29.11,28.09,28.35,7168963.0,0.0871076913730255,29.12,-0.76,-0.0261
2015-02-26,28.24,28.77,28.19,28.58,5381375.0,0.0653873025516403,28.36,0.23,0.0081
2015-02-27,28.7,30.74,28.7,29.66,15367931.0,0.1867306318347509,28.59,1.08,0.0378
2015-03-02,29.89,32.63,29.69,32.63,28184488.0,0.3424603645200486,29.67,2.97,0.1001
2015-03-03,33.99,35.89,33.56,35.89,19679794.0,0.2391226488456865,32.64,3.26,0.0999
2015-03-04,36.99,38.86,35.23,35.59,34132052.0,0.4147272417982989,35.9,-0.31,-0.0086
2015-03-05,34.79,35.67,33.89,34.63,19262580.0,0.234053219927096,35.59,-0.95,-0.0267
2015-03-06,34.33,34.7,32.66,32.88,13949196.0,0.1694920534629404,34.64,-1.76,-0.0508
2015-03-09,32.55,33.97,32.4,33.49,8860825.0,0.1076649453219927,32.88,0.61,0.0186
2015-03-10,33.4,33.4,32.6,32.88,7393728.0,0.0898387363304981,33.49,-0.61,-0.0182
2015-03-11,32.96,33.87,32.7,32.81,7815649.0,0.0949653584447144,32.88,-0.07,-0.0021
2015-03-12,32.25,32.57,30.88,31.51,10687235.0,0.1298570473876063,32.81,-1.3,-0.0396
2015-03-13,31.8,32.4,31.4,32.33,6183956.0,0.075139198055893,31.51,0.82,0.026
2015-03-16,32.69,33.43,32.5,33.29,9260551.0,0.1125218833535844,32.33,0.96,0.0297
2015-03-17,33.25,34.83,32.86,34.16,14029257.0,0.1704648481166464,33.29,0.87,0.0261
2015-03-18,33.98,34.26,33.36,34.08,10468060.0,0.1271939246658566,34.16,-0.08,-0.0023
2015-03-19,34.13,34.79,33.51,33.92,8970068.0,0.1089923207776427,34.08,-0.16,-0.0047
2015-03-20,33.88,34.2,33.52,33.99,8085081.0,0.0982391373025516,33.92,0.07,0.0021
2015-03-23,34.18,34.88,33.88,34.45,11199269.0,0.136078602673147,33.99,0.46,0.0135
2015-03-24,34.44,35.15,33.01,34.06,12223577.0,0.1485246294046172,34.45,-0.39,-0.0113
2015-03-25,33.82,34.2,33.3,33.9,9480197.0,0.1151907290400972,34.06,-0.16,-0.0047
2015-03-26,34.01,37.29,34.01,37.29,22569716.0,0.2742371324422843,33.9,3.39,0.1
2015-03-27,38.0,38.1,35.1,35.55,16888276.0,0.2052038396111786,37.29,-1.74,-0.0467
