,up_dt,up_price,down_dt,down_price,highest,weeks,rise_rate%,down_up%,id
0,2011-08-26,983.21,2011-09-23,938.53,960.87,4,0.43,-4.54,000001
1,2012-03-23,902.67,2012-04-06,901.5,901.5,2,1.86,-0.13,000001
2,2013-01-25,1093.13,2013-08-16,972.51,1322.98,28,2.88,-11.03,000001
3,2013-09-13,1219.87,2014-02-14,1113.59,1281.95,22,8.61,-8.71,000001
4,2014-07-11,1083.87,2015-09-25,1440.98,2305.08,63,114.23,32.95,000001
5,2016-09-09,1557.32,2017-05-19,1445.18,1601.2,35,6.37,-7.2,000001
6,2017-07-14,1804.36,2018-05-18,1839.79,2463.9,43,34.76,1.96,000001
7,2019-03-08,2079.68,2020-04-03,2153.63,2896.38,55,37.13,3.56,000001
8,2020-09-30,2605.14,2021-09-10,3512.04,4191.4,49,60.79,34.81,000001
9,2011-04-07,1229.7,2011-06-24,1142.0,1196.98,11,0.0,-7.13,000002
10,2011-07-08,1199.6,2011-09-09,1102.72,1148.54,9,0.0,-8.08,000002
11,2012-03-23,1107.96,2013-09-18,1346.21,1677.42,73,48.59,21.5,000002
12,2014-07-18,1303.01,2017-05-26,2989.13,3927.76,120,175.93,129.4,000002
13,2017-07-07,3527.17,2018-06-29,3622.74,5643.98,50,60.43,2.71,000002
14,2019-03-22,4341.43,2020-04-24,4018.75,4852.65,56,6.85,-7.43,000002
15,2020-08-28,4399.25,2021-06-04,4236.93,5123.19,40,14.75,-3.69,000002
16,2013-03-01,35.94,2016-03-18,126.46,194.84,156,447.61,251.86,000004
17,2016-09-23,158.77,2017-06-23,97.82,184.86,28,26.23,-38.39,000004
18,2019-04-26,84.73,2020-09-30,88.41,164.39,74,69.04,4.34,000004
19,2020-12-04,101.21,2020-12-25,82.83,99.84,3,0.0,-18.16,000004
20,2014-08-29,23.73,2016-03-25,93.95,203.56,61,715.87,295.91,000005
21,2019-03-29,39.89,2019-06-28,29.98,42.61,13,0.0,-24.84,000005
22,2019-09-27,31.61,2019-11-29,28.48,32.69,9,2.54,-9.9,000005
23,2020-09-04,28.76,2020-09-18,26.99,27.67,2,0.0,-6.15,000005
24,2012-04-20,169.22,2013-08-16,170.32,202.96,67,16.11,0.65,000006
25,2013-08-30,183.66,2014-02-21,177.18,222.9,25,24.73,-3.53,000006
26,2014-04-04,200.42,2016-02-05,309.87,748.06,96,278.29,54.61,000006
27,2016-10-28,391.4,2017-05-12,322.06,410.07,28,0.0,-17.72,000006
28,2017-07-07,348.73,2017-08-11,333.49,347.97,5,0.55,-4.37,000006
29,2019-04-12,294.67,2019-06-21,251.43,286.29,10,0.0,-14.67,000006
30,2020-06-24,286.82,2021-01-08,244.54,371.4,28,12.07,-14.74,000006
31,2011-08-12,34.5,2011-09-30,28.58,34.12,7,3.96,-17.16,000008
32,2012-08-24,29.94,2014-06-20,47.36,64.47,93,106.97,58.18,000008
33,2014-09-26,88.53,2016-09-02,248.16,347.95,82,260.94,180.31,000008
34,2017-10-27,245.47,2018-02-09,200.43,245.74,15,0.0,-18.35,000008
35,2013-05-03,46.2,2014-01-17,42.29,56.09,37,18.21,-8.46,000009
36,2014-02-28,54.7,2015-09-18,60.2,141.34,65,157.22,10.05,000009
37,2015-12-04,108.66,2016-02-19,76.46,110.97,10,10.97,-29.63,000009
38,2016-09-02,89.8,2016-12-02,81.79,89.8,12,0.0,-8.92,000009
39,2019-03-22,60.98,2022-02-15,130.41,265.02,150,389.24,113.86,000009
40,2011-05-13,28.4,2011-10-28,19.25,29.91,23,0.0,-32.22,000011
41,2013-02-08,17.09,2013-03-29,14.48,16.41,6,0.8,-15.27,000011
42,2013-05-10,18.37,2014-01-24,17.0,21.56,37,12.12,-7.46,000011
43,2014-09-19,19.23,2015-10-23,30.83,46.08,57,138.26,60.32,000011
44,2015-11-06,36.73,2016-03-11,30.88,38.53,17,9.18,-15.93,000011
45,2016-04-01,32.9,2016-05-27,29.66,34.27,8,5.61,-9.85,000011
46,2016-08-05,33.94,2017-12-15,40.8,51.3,69,45.74,20.21,000011
47,2019-10-25,25.12,2019-11-01,24.35,24.35,1,0.0,-3.07,000011
48,2020-06-12,36.84,2021-01-08,29.84,68.33,30,71.0,-19.0,000011
49,2013-05-31,165.68,2014-01-10,114.26,169.72,32,0.0,-31.04,000012
50,2014-11-07,124.62,2015-10-16,161.64,255.2,45,98.35,29.71,000012
51,2015-12-18,191.8,2016-03-11,163.26,224.64,11,0.0,-14.88,000012
52,2016-07-22,185.74,2017-04-21,179.95,226.39,38,27.33,-3.12,000012
53,2019-04-12,132.98,2019-06-06,111.26,131.37,8,0.0,-16.33,000012
54,2012-06-01,53.27,2013-08-09,64.93,75.52,60,33.57,21.89,000014
55,2013-08-30,78.67,2014-02-28,69.03,88.39,26,23.04,-12.25,000014
56,2014-04-30,75.94,2014-05-09,67.21,67.21,1,0.0,-11.5,000014
57,2014-05-23,69.64,2014-06-06,64.85,67.28,2,0.0,-6.88,000014
58,2014-08-01,82.74,2016-02-05,130.42,279.72,79,233.52,57.63,000014
59,2016-08-26,152.87,2017-02-17,135.63,173.37,24,14.2,-11.28,000014
60,2019-04-12,89.88,2019-05-24,72.49,89.58,6,0.0,-19.35,000014
61,2020-07-03,82.19,2020-12-11,64.27,100.95,23,8.22,-21.8,000014
62,2013-03-15,27.13,2013-04-03,27.31,28.12,3,0.0,0.66,000016
63,2013-05-31,29.57,2013-06-28,25.96,28.76,4,0.0,-12.21,000016
64,2013-08-16,30.29,2016-02-19,92.27,271.34,118,823.24,204.62,000016
65,2017-07-21,91.73,2018-06-22,87.25,130.22,47,39.5,-4.88,000016
66,2019-04-19,99.35,2019-06-28,77.67,90.5,10,0.0,-21.82,000016
67,2019-09-06,84.18,2020-11-06,127.72,213.37,60,150.79,51.72,000016
68,2021-08-20,143.62,2021-11-19,118.33,143.44,12,2.19,-17.61,000016
69,2022-01-14,121.22,2022-01-21,115.8,115.8,1,0.0,-4.47,000016
70,2012-10-26,15.4,2015-09-30,27.35,87.93,95,464.38,77.6,000017
71,2015-12-11,47.17,2016-02-26,40.78,51.1,10,3.67,-13.55,000017
72,2016-12-23,43.41,2017-03-31,34.51,47.31,13,10.8,-20.5,000017
73,2019-03-29,17.1,2019-06-14,13.88,17.78,11,0.0,-18.83,000017
74,2019-09-06,17.85,2019-11-22,13.74,16.96,11,0.0,-23.03,000017
75,2011-04-08,11.93,2011-06-10,9.9,12.31,9,0.0,-17.02,000018
76,2012-11-02,9.19,2014-04-30,12.07,14.32,77,53.81,31.34,000018
77,2014-06-06,14.14,2016-11-11,51.08,71.76,105,282.92,261.24,000018
78,2012-04-26,18.59,2012-07-13,17.09,21.39,8,15.06,-8.07,000019
79,2013-09-13,15.87,2013-11-22,14.18,15.46,10,2.05,-10.65,000019
80,2014-03-28,16.36,2014-06-20,14.37,16.63,12,6.19,-12.16,000019
81,2014-08-08,16.37,2015-09-30,19.93,56.6,60,232.75,21.75,000019
82,2015-11-13,45.25,2017-05-12,44.83,71.86,76,74.63,-0.93,000019
83,2020-04-24,46.85,2021-01-15,27.97,42.16,38,16.43,-40.3,000019
84,2012-06-15,13.72,2012-08-17,11.64,14.61,9,0.0,-15.16,000020
85,2013-09-18,12.51,2016-07-01,40.65,61.18,101,404.79,224.94,000020
86,2016-10-21,42.49,2017-01-20,38.04,50.64,13,18.85,-10.47,000020
87,2017-04-14,46.32,2017-09-01,36.75,42.43,8,0.31,-20.66,000020
88,2019-10-25,20.38,2019-11-15,19.8,20.61,3,0.0,-2.85,000020
89,2020-07-24,23.98,2020-12-11,18.33,24.89,20,0.0,-23.56,000020
90,2013-07-05,61.91,2014-05-23,64.74,85.18,46,32.37,4.57,000021
91,2014-07-18,74.76,2015-10-09,105.87,233.75,62,219.24,41.61,000021
92,2015-11-27,182.85,2016-02-05,102.53,177.58,10,0.0,-43.93,000021
93,2016-08-19,150.08,2017-01-13,121.29,139.93,20,0.74,-19.18,000021
94,2017-11-17,122.45,2018-03-16,112.42,143.14,17,18.39,-8.19,000021
95,2019-03-22,129.26,2021-01-22,254.19,362.4,95,201.02,96.65,000021
96,2011-03-25,18.56,2011-07-22,17.25,18.49,17,2.04,-7.06,000023
97,2013-01-25,13.19,2017-04-28,47.02,70.81,165,430.01,256.48,000023
98,2019-03-29,30.19,2019-06-21,25.7,30.99,12,0.03,-14.87,000023
99,2019-09-06,28.6,2019-11-22,24.84,27.73,11,0.0,-13.15,000023
100,2020-04-17,34.01,2021-03-05,30.85,37.53,46,0.0,-9.29,000023
101,2011-05-06,93.08,2011-11-11,88.1,105.64,26,10.54,-5.35,000024
102,2012-01-20,98.7,2013-11-15,119.9,166.49,87,70.79,21.48,000024
103,2011-05-27,15.25,2011-09-09,12.32,15.8,15,0.0,-19.21,000025
104,2013-03-01,9.05,2013-04-19,8.25,8.82,7,0.0,-8.84,000025
105,2013-09-13,9.23,2016-11-04,87.47,126.58,157,1292.52,847.67,000025
106,2019-04-19,45.21,2019-07-12,37.89,42.39,12,0.0,-16.19,000025
107,2019-09-12,42.73,2020-02-07,34.96,42.41,20,2.12,-18.18,000025
108,2020-08-14,40.25,2020-11-27,36.38,44.94,15,0.0,-9.61,000025
109,2013-10-25,51.76,2014-02-07,45.78,54.14,15,5.15,-11.55,000026
110,2014-06-06,51.42,2015-09-11,71.22,179.95,65,236.99,38.51,000026
