,up_dt,up_price,down_dt,down_price,highest,weeks,rise_rate%,down_up%,id
0,2013-09-13,1219.87,2014-02-14,1113.59,1281.95,22,8.61,-8.71,000001
1,2017-07-14,1804.36,2018-05-18,1839.79,2463.9,43,34.76,1.96,000001
2,2020-09-30,2605.14,2021-09-10,3512.04,4191.4,49,60.79,34.81,000001
3,2011-07-08,1199.6,2011-09-09,1102.72,1148.54,9,0.0,-8.08,000002
4,2017-07-07,3527.17,2018-06-29,3622.74,5643.98,50,60.43,2.71,000002
5,2020-08-28,4399.25,2021-05-07,4455.55,5123.19,36,14.75,1.28,000002
6,2016-09-23,158.77,2017-02-17,147.42,184.86,20,26.23,-7.15,000004
7,2020-12-04,101.21,2020-12-25,82.83,99.84,3,0.0,-18.16,000004
8,2014-08-29,23.73,2016-03-25,93.95,203.56,61,715.87,295.91,000005
9,2019-09-27,31.61,2019-11-29,28.48,32.69,9,2.54,-9.9,000005
10,2017-07-07,348.73,2017-08-11,333.49,347.97,5,0.55,-4.37,000006
11,2012-03-16,115.42,2013-07-19,138.24,229.52,65,120.02,19.77,000007
12,2015-03-27,183.06,2018-04-04,213.07,293.05,55,40.31,16.39,000007
13,2020-06-19,135.83,2020-12-18,126.58,142.77,26,7.06,-6.81,000007
14,2014-09-26,88.53,2016-09-02,248.16,347.95,82,260.94,180.31,000008
15,2014-02-28,54.7,2015-09-18,60.2,141.34,65,157.22,10.05,000009
16,2015-12-04,108.66,2016-01-29,69.99,110.97,8,10.97,-35.59,000009
17,2014-08-15,91.38,2014-12-19,104.74,115.45,18,15.44,14.62,000010
18,2015-12-04,137.85,2016-03-11,115.45,146.2,13,9.83,-16.25,000010
19,2021-04-16,61.18,2021-07-02,52.97,59.51,11,0.0,-13.42,000010
20,2014-09-19,19.23,2015-10-23,30.83,46.08,57,138.26,60.32,000011
21,2015-11-06,36.73,2016-03-11,30.88,38.53,17,9.18,-15.93,000011
22,2016-04-01,32.9,2016-05-27,29.66,34.27,8,5.61,-9.85,000011
23,2015-12-18,191.8,2016-03-11,163.26,224.64,11,0.0,-14.88,000012
24,2013-08-30,78.67,2014-02-28,69.03,88.39,26,23.04,-12.25,000014
25,2014-05-23,69.64,2014-06-06,64.85,67.28,2,0.0,-6.88,000014
26,2014-08-01,82.74,2016-02-05,130.42,279.72,79,233.52,57.63,000014
27,2017-07-21,91.73,2018-06-22,87.25,130.22,47,39.5,-4.88,000016
28,2015-12-11,47.17,2016-02-26,40.78,51.1,10,3.67,-13.55,000017
29,2016-12-23,43.41,2017-02-03,38.8,47.31,6,10.8,-10.62,000017
30,2019-09-06,17.85,2019-11-22,13.74,16.96,11,0.0,-23.03,000017
31,2014-06-06,14.14,2016-08-19,56.64,71.76,94,282.92,300.57,000018
32,2015-11-13,45.25,2017-05-12,44.83,71.86,76,74.63,-0.93,000019
33,2014-07-18,74.76,2015-10-09,105.87,233.75,62,219.24,41.61,000021
34,2015-11-27,182.85,2016-02-05,102.53,177.58,10,0.0,-43.93,000021
35,2020-08-14,40.25,2020-11-06,36.23,44.94,12,0.0,-9.99,000025
36,2014-06-06,51.42,2015-09-11,71.22,179.95,65,236.99,38.51,000026
37,2015-12-11,115.58,2016-02-05,74.49,116.06,8,0.53,-35.55,000026
38,2021-02-10,98.24,2021-08-06,93.4,119.81,25,18.11,-4.93,000026
39,2017-07-21,82.66,2017-07-28,82.17,82.17,1,0.0,-0.59,000027
40,2020-07-24,83.95,2022-01-28,103.72,149.83,79,74.57,23.55,000027
41,2013-08-16,102.41,2014-06-20,108.58,158.69,44,54.88,6.02,000028
42,2014-07-25,128.78,2016-04-01,173.27,255.84,67,90.07,34.55,000028
