,dt,Open,Close,High,Low,Vol
0,2000-12-06,30.6,28.55,30.87,28.48,721747000.0
1,2000-12-07,28.0,27.5,28.2,27.01,158313000.0
2,2000-12-08,27.29,27.1,27.48,27.05,39615000.0
3,2000-12-11,26.9,27.27,27.48,26.6,38765000.0
4,2000-12-12,27.23,27.75,27.91,27.0,31933000.0
5,2000-12-13,27.5,27.85,27.89,27.5,20711000.0
6,2000-12-14,27.7,27.89,27.98,27.65,27970000.0
7,2000-12-15,27.8,28.0,28.15,27.5,20073000.0
8,2000-12-18,28.0,27.99,28.12,27.6,15517000.0
9,2000-12-19,27.78,27.8,27.99,27.75,13376000.0
10,2000-12-20,27.8,27.98,28.2,27.71,23540000.0
11,2000-12-21,28.19,27.92,28.2,27.73,18577000.0
12,2000-12-22,27.85,27.49,27.85,27.32,23922000.0
13,2000-12-25,27.2,27.48,27.97,27.2,15395000.0
14,2000-12-26,27.52,27.6,27.85,27.51,11423000.0
15,2000-12-27,27.57,27.55,27.88,27.5,12131000.0
16,2000-12-28,27.4,27.38,27.8,27.28,9352000.0
17,2000-12-29,27.4,27.93,28.02,27.3,22021000.0
18,2001-01-02,27.95,28.92,29.28,27.7,76284000.0
19,2001-01-03,28.97,28.92,29.5,28.75,54451000.0
20,2001-01-04,28.85,28.6,29.0,28.5,20817000.0
21,2001-01-05,28.6,28.96,29.39,28.5,26466000.0
22,2001-01-08,28.96,28.91,29.27,28.76,26075000.0
23,2001-01-09,28.93,28.75,29.35,28.75,28184000.0
24,2001-01-10,28.76,29.18,29.5,28.76,27771000.0
25,2001-01-11,29.2,28.9,29.4,28.8,16405000.0
26,2001-01-12,28.85,28.2,28.98,28.09,21963000.0
27,2001-01-15,28.0,27.0,28.1,26.98,31801000.0
28,2001-01-16,26.95,27.3,27.5,26.76,16007000.0
29,2001-01-17,27.4,27.0,27.4,26.91,10640000.0
30,2001-01-18,27.0,27.3,27.38,26.98,15587000.0
31,2001-01-19,27.4,27.3,27.46,27.2,12038000.0
32,2001-02-05,27.3,26.48,27.3,26.45,19312000.0
33,2001-02-06,26.3,25.0,26.3,24.91,22269000.0
34,2001-02-07,25.1,25.21,25.49,24.9,8318000.0
35,2001-02-08,25.0,24.35,25.3,24.2,8513000.0
36,2001-02-09,24.5,25.02,25.2,24.5,10022000.0
37,2001-02-12,25.03,24.95,25.05,24.35,4485000.0
38,2001-02-13,24.95,24.98,25.17,24.8,5602000.0
39,2001-02-14,24.8,25.0,25.0,24.62,2899000.0
40,2001-02-15,25.0,24.55,25.1,24.55,8932000.0
41,2001-02-16,24.32,24.6,24.7,24.1,6782000.0
42,2001-02-19,24.84,24.99,25.05,24.56,2896000.0
43,2001-02-20,24.91,24.48,25.15,24.4,6606000.0
44,2001-02-21,24.38,23.65,24.79,23.4,16434000.0
45,2001-02-22,23.61,23.71,23.97,23.6,5363000.0
46,2001-02-23,23.71,24.37,24.38,23.71,3401000.0
47,2001-02-26,24.68,24.7,24.79,24.36,5238000.0
48,2001-02-27,24.76,24.89,24.92,24.51,3778000.0
49,2001-02-28,24.95,24.9,24.95,24.7,3982000.0
50,2001-03-01,24.89,25.5,25.53,24.8,13128000.0
51,2001-03-02,25.69,25.35,25.69,25.01,9237000.0
